squalid	abiectus
cat-gut	chorda
catgut	chorda
scar	cicatrix
bruise	cicatrix
encircling	circumscriptio
boundary	circumscriptio
partic	citatus
citation	citatus
civic	ciuicus
abstr	ciuitas
destruction	clades
carnage	clades
clamorous	clamorosus
secret	clandestinus
clandestine	clandestinus
clearness	claritas
brightness	claritas
clearness	claritudo
brightness	claritudo
clear	clarus
bright	clarus
lameness	clauditas
limping	claudus
crippled	claudus
compliant	clemens
mildness	clementia
calm	clementia
thief	clepta
thief	cleptes
crippled	clodus
crippled	cludus
assistant	coadjutor
divinity	coeles
air	coelum
filthy	coenosus
confining	coercitio
coercion	coercitio
study	cognitio
examination	cognitio
coercion	cohercitio
colloquy	colloquium
blame	colpa
safe	columis
courteous	comis
affable	comis
courtesy	comitas
assembly	comitium
recommendation	commendatio
approval	commendatio
despicable	commictilis
proportion	commoditas
advantage	commoditas
opportunity	commodum
advantage	commodum
appropriate	commodus
partic	commotus
agitation	commotus
connexion	compages
bond	compages
short	compendiarius
quick	compendiarius
abstract	compendium
pillaging	compilatio
burglary	compilatio
compound	compositus
rapist	compressor
rival	concertator
elegance	concinnitas
charm	concinnitas
beauty	concinnitudo
pleasing	concinnus
clever	concinnus
assembly	concio
celebrated	conclamatus
agreement	concordia
amity	concordia
agreeing	concordis
amity	concorditas
concordant	concors
agreeing	concors
desiring	concupiens
spice	condimentum
condiment	condimentum
comfort	confortatio
disorderly	confusus
inarticulate	confusus
conjugal	coniugalis
spouse	coniunx
conspirators	coniurati
marriage	connubium
bond	conpages
burglary	conpilatio
rapist	conpressor
complaining	conquestus
selected	conquisitus
chosen	conquisitus
attack	conreptio
bribery	conruptela
bribery	conruptio
briber	conruptor
criminal	consceleratus
accessory	conscia
accessory	conscius
suitable	consentaneus
agreeable	consentaneus
deliberating	consiliarius
adviser	consiliarius
advice	consilium
consul	consol
consolation	consolatio
comfort	consolatio
harmonious	consonus
agreeing	consonus
associate	consors
visible	conspicuus
famous	conspicuus
steadiness	constantia
courage	constantia
ravisher	constuprator
debaucher	constuprator
consul	consul
ex-consul	consularis
consular	consularis
experienced	consultus
expert	consultus
complete	consummatus
contact	contagium
contempt	contemptio
despised	contemptus
contempt	contemptus
contempt	contemtio
contented	contentus
strained	contentus
content	contentus
self-control	continentia
contiguity	continentia
assembly	contio
illegal	contrajuris
controverted	controuersiosus
comrade	contubernalis
colleague	contubernalis
stubbornness	contumacia
obstinacy	contumacia
stubborn	contumax
defiant	contumax
outrage	contumelia
abuse	contumelia
abuse	contumia
shout	conuicium
co-operation	cooperatio
plenty	copia
abundance	copia
purveyor	copiarius
abundance	copiositas
abundant	copiosus
rich	cops
prudent	cordatus
judicious	cordatus
fat	corpulentus
corpulent	corpulentus
attack	correptio
corruption	corruptela
bribery	corruptela
corrupting	corruptio
bribery	corruptio
corrupter	corruptor
briber	corruptor
drunkenness	crapula
drunk	crapulatus
footpad	crassator
choice	creatio
appointment	creatio
credible	credibilis
believable	credibilis
credulity	credulitas
credulous	credulus
dark	creper
accusation	crimen
crime-	criminalis
accusation	criminatio
reproachful	criminosus
accusatory	criminosus
pain	cruciamentum
torture	cruciatus
cruelty	cruciatus
outcropping	crudarius
unfeeling	crudelis
bitter	crudelis
cruelty	crudelitas
barbarity	crudelitas
indigestion	cruditas
bitterness	cruditas
bleeding	crudus
fault	culpa
blame	culpa
tilling	cultus
cultivated	cultus
civilization	cultus
increased	cumulatus
abundant	cumulatus
delicacy	cupedo
ambition	cupiditas
longing	cupido
desirous	cupidus
eager	cupidus
confectioner	cuppedenarius
appetite	cuppedo
dainty	cuppes
care	cura
anxiety	cura
attention	curatura
comically	curculiunculus
curia	curia
court	curia
point	cuspis
blade	cuspis
condemnation	damnatio
loss	damnum
fine	damnum
fine	dampnum
powerless	debilis
crippled	debilis
weakness	debilitas
debility	debilitas
deceit	deceptio
spendthrift	decoctor
discreditable	dedecorosus
shame	dedecus
discredit	dedecus
exhaustion	defatigatio
fatigue	defatigatio
imperfection	defectibilitas
failure	defectio
defection	defectio
rebel	defector
failing	defectus
feeble	defectus
failing	defectus
fatigue	defetigatio
deformed	deformis
base	deformis
deformity	deformitas
blemish	deformitas
death	defunctus
degenerate	degener
accusation	delatura
blandishment	delenimentum
favorite	delicatus
beloved	delicia
outward-sloping	deliciatus
crime	delictum
blandishment	delinimentum
gutter	deliquia
delirium	delirium
lame	delumbis
demented	demens
distraction	dementia
low	demissus
censure	denotatio
entreaty	deprecatio
advocate	deprecator
refinement	depuratio
ridicule	deridiculum
absurdity	deridiculum
derision	derisio
desirable	desiderabilis
idle	desidiosus
hopelessness	desperatio
despair	desperatio
determination	destinatio
disclosure	detectio
worse	deterior
abominable	detestabilis
declining	detractatio
withdrawal	detractio
blood-letting	detractio
refusal	detrectatio
declining	detrectatio
loss	detrimentum
damage	detrimentum
difficult	difficilis
difficulty	difficultas
esteem	dignatio
dignity	dignatio
worth	dignitas
esteem	dignitas
appropriate	dignus
decay	dilapsio
accurate	diligens
carefulness	diligentia
attentiveness	diligentia
fight	dimicatio
combat	dimicatio
misfortune	diritas
cruelty	diritas
fearful	dirus
awful	dirus
destruction	dirutio
crisis	discrimen
eloquence	disertitudo
eloquent	disertus
disagreement	disidium
unlike	dispar
disparate	dispar
disagreement	dissidium
concealing	dissimulatio
dissembler	dissimulator
loose	dissolutus
dissolute	dissolutus
discordant	dissonus
different	dissonus
partic	distinctus
difference	distinctus
definite	distinctus
contrariety	diuersitas
rich	diues
divinity	diuinitas
divine	diuinus
wealth	diuitiae
lasting	diuturnus
teacher	doctor
doctor	doctor
pain	dolor
anguish	dolor
doubt	dubietas
doubtful	dubitabilis
doubt	dubium
critical	dubius
agreeableness	dulcedo
confectioner	dulciarius
sweet	dulcis
charming	dulcis
sweetness	dulcitudo
affectionateness	dulcitudo
good	duonus
ambiguity	duplicitas
harshness	duritas
hardness	duritia
hardness	durities
harsher	duriusculus
hardships	durum
hard	durus
cruel	durus
guide	dux
commander	dux
drunk	ebriacus
drunkenness	ebrietas
distraught	ebrius
raised	editus
elevated	editus
effeminate	effeminatus
wilderness	efferitas
savage	efferus
barbarous	efferus
accomplishment	efficacia
effective	efficax
effective	efficiens
headstrong	effrenatus
needy	egens
destitute	egens
poverty	egestas
lack	egestas
elaboration	elaboratio
chosen	electus
choosing	electus
choice	electus
fastidious	elegans
critical	elegans
taste	elegantia
elegance	elegantia
element	elementum
beginnings	elementum
speechless	elinguis
outstanding	eminens
distinguished	eminens
gain	emolumentum
advantage	emolumentum
letter	epistula
epistle	epistula
raised	erectus
alert	erectus
fault	erratum
error	erratum
deception	error
teaching	eruditio
culture	eruditio
instructed	eruditus
learned	eruditus
hunger	esuries
overturning	euersio
generous	eugeneus
accurate	exactus
dead	exanimalis
bitterness	exasperatio
high	excellens
distinguished	excellens
height	excelsitas
lofty	excelsus
elevated	excelsus
departure	excessus
death	excessus
overthrow	excidium
demolition	excidium
foolish	excors
silly	excors
excuse	excusatio
accursed	execrabilis
example	exempoator
funeral	exequialis
exhalation	exhalatio
exhausted	exhaustus
shame	exhonoratio
littleness	exiguitas
paucity	exiguitas
banishment	exilium
excellence	eximietas
excepted	eximius
excellent	eximius
emptiness	exinanitio
deadly	exitiabilis
destructive	exitialis
deadly	exitialis
death	exitium
reproach	exprobratio
assault	expugnatio
cursing	exsecrabilis
accursed	exsecrabilis
funeral	exsequialis
banishment	exsilium
credit	exsistimatio
hopeless	exspes
hopeless	exspes
annihilator	exstinctor
banished	exsul
exile	exsul
exultation	exsultatio
superiority	exsuperantia
destruction	extritio
exile	exul
exultation	exultatio
courteous	facilis
easiness	facilitas
courteousness	facilitas
criminal	facinerosus
criminal	facinorosus
deed	facinus
crime	facinus
making	factio
faction	factio
achievement	factum
mediocris	facultas
ability	facultas
eloquence	facundia
fertility	facunditas
eloquent	facundus
impure	faeceus
money-lender	faenerator
foulness	faetor
dregs	faex
deposits	faex
deceit	fallacia
artifice	fallacitas
deceitful	fallax
lying	falsiloquus
wrong	falsus
deceiving	falsus
talk	fama
fame	fama
hunger	fames
craving	fames
clan	familia
domestic	familiaris
intimacy	familiaritas
familiarity	familiaritas
fascist	fascisticus
squeamish	fastidiosus
disdainful	fastidiosus
disdainful	fastosus
disdainful	fastuosus
arrogance	fastus
almanac	fastus
foolishness	fatuitas
folly	fatuitas
foolish	fatuus
fool	fatuus
favour	fauor
popular	fauorabilis
prosperity	faustitas
favourable	faustus
auspicious	faustus
fruitfulness	fecunditas
fruitful	fecundus
abundant	fecundus
fertility	felicitas
happiness	felicitas
fruitful	felix
blessed	felix
felon	felo
breeches	feminal
cowardly	femineus
fruitful	ferax
fruitful	ferax
wilderness	feritas
brutality	feritas
courage	ferocitas
aggressiveness	ferocitas
fierce	ferox
arrogant	ferox
fruitful	fertilis
abundant	fertilis
boiling	feruidus
wild	ferus
fierce	ferus
constant	fidelis
faithfulness	fidelitas
fides	fides
trust	fides
belief	fides
chord	fidis
confidence	fiducia
entrusted	fiduciarius
confident	fidus
firmness	firmitas
firmness	firmitudo
stability	firmitudo
firm	firmus
durable	firmus
shameful	flagitiosus
disgraceful	flagitiosus
disgrace	flagitium
pass	flebilis
doleful	flebilis
blooming	florens
bright	florens
flowery	floreus
flower	flos
blossom	flos
foulness	foeditas
beastliness	foeditas
league	foedus
alliance	foedus
stink	foetor
foulness	foetor
form	forma
appearance	forma
fearful	formidabilis
terrifying	formidabilis
dread	formido
alarm	formido
alarming	formidolosus
alarming	formidulosus
pretty	formonsulus
pretty	formosulus
beautiful	formosus
arch	fornicatio
bold	fortis
courage	fortitudo
blessed	fortunatus
blessing	fortunium
deceit	fraudatio
deceit	fraus
crime	fraus
strait	fretus
trusting	fretus
forehead	frons
foliage	frons
fruit-bearing	fructuarius
fruit-bearing	fructuosus
advantageous	fructuosus
abstr	fructus
crops	fructus
frugal	frugalis
deserving	frugalis
economy	frugalitas
useful	frugi
deserving	frugi
fruit-bearing	frugifer
fertile	frugifer
corn-merchant	frumentarius
corn	frumentum
crops	frumentum
fruit	frux
crops	frux
flight	fuga
avoidance	fuga
funereal	funebris
deadly	funebris
funereal	funereus
deadly	funereus
pass	funestus
calamitous	funestus
funeral	funus
burial	funus
thief	fur
robber	fur
gallows-bird	furcifer
raging	furiosus
frantic	furiosus
madness	furor
frenzy	furor
stolen	furtiuus
theft	furtum
deception	furtum
brittle	futtilis
vain	futtilis
worthlessness	futtilitas
joy	gaudium
delight	gaudium
sigh	gemitus
groan	gemitus
breeding	generositas
noble	generosus
national	genticus
gentiles	gentilis
glorious	glorificus
idler	grassator
footpad	grassator
thanks	grates
agreeableness	gratia
credit	gratia
favoured	gratiosus
agreeable	gratiosus
free	gratuitus
congratulation	gratulatio
pleasing	gratus
acceptable	gratus
cold	grauedo
heavy	grauis
weight	grauitas
thickness	grossitudo
coarse	grossus
holy	hagios
mucro	hebes
blunt	hebes
dimness	hebetudo
cheerful	hilaris
cheerfulness	hilaritas
cheerful	hilarus
rough	hirsutus
bristly	hirsutus
shaggy	hirtus
hairy	hirtus
rough	hispidus
bristly	hispidus
gaping	hiulcus
cracked	hiulcus
murderer	homicida
homicide	homicida
murder	homicidium
homicide	homicidium
manikin	homuncio
repute	honestas
honesty	honestas
morality	honestum
honoured	honestus
distinguished	honestus
dignity	honor
honoring	honorificentia
honorific	honorificus
honour	honos
dignity	honos
rough	horridus
bristly	horridus
bristling	horror
dread	horror
encouragement	hortamen
alien	hospita
foreign	hosticus
hostile	hosticus
enemy	hostilis
enemy	hostis
ignorant	ignarus
idleness	ignauia
coward	ignauus
unknown	ignobilis
ignoble	ignobilis
ingloriousness	ignobilitas
obscurity	ignobilitas
disgraced	ignominiosus
ignorance	ignoratio
strange	ignotus
joyless	illaetabilis
illegal	illegalis
decoy	illex
ignoble	illiberalis
meanness	illiberalitas
forbidden	illicitus
illiterate	illiteratus
dirty	illutus
weakness	imbecillitas
feebleness	imbecillitas
weak	imbecillus
delicate	imbecillus
unwarlike	imbellis
imitation	imitatio
copy	imitatio
savageness	immanitas
barbarity	immanitas
immaturity	immaturitas
unripe	immaturus
immature	immaturus
incurable	immedicabilis
unmindful	immemor
forgetful	immemor
forgetfulness	immemoratio
innocent	immerens
blameless	immerens
unpitied	immiserabilis
unmerciful	immisericors
cruel	immitis
excess	immoderatio
immeasurable	immoderatus
disorderly	immoderatus
unrestrained	immodestus
extravagant	immodestus
immoderate	immodicus
excessive	immodicus
deathless	immortalis
god	immortalis
immortality	immortalitas
divinity	immortalitas
uncleanness	immunditia
dirtiness	immunditia
unclean	immundus
dirty	immundus
impatience	impaciencia
unequal	impar
inferior	impar
insensible	impassibilis
apathy	impassibilitas
impatient	impatiens
impatience	impatientia
fearless	impauidus
commander	imperator
imperfection	imperfectio
inexperience	imperitia
ignorance	imperitia
ignorant	imperitus
undisturbed	imperturbatus
calm	imperturbatus
undutifulness	impietas
etc	impietas
undutiful	impius
impious	impius
implacable	implacabilis
irreconcilable	implacabilis
self-assertion	importunitas
relentlessness	importunitas
unsuitable	importunus
annoying	importunus
headstrong	impotens
poverty	impotentia
violence	impotentia
badness	improbitas
dishonesty	improbitas
wicked	improbulus
disloyal	improbus
undersized	improcerus
disproportionate	improportionabilis
improvident	improuidus
unforeseen	improuisus
unaware	imprudens
foolish	imprudens
imprudence	imprudentia
ignorance	imprudentia
impudent	impudens
shamelessness	impudentia
effrontery	impudentia
lewdness	impudicitia
shameless	impudicus
unpunished	impunis
impunity	impunitas
safe	impunitus
foulness	impuritas
foulness	impuritia
filthy	impurus
accusation	imputatio
incorruptible	imputribilis
imperfect	inabsolutus
uneven	inaequalis
irregular	inaequalis
hateful	inamabilis
disagreeable	inamabilis
unpretentious	inambitiosus
inanimate	inanimis
lifeless	inanimus
inanimate	inanimus
feebleness	inbecillitas
delicate	inbecillus
peaceful	inbellis
incautious	incautus
doubtful	incertus
unmerciful	inclemens
harsh	inclemens
unmercifulness	inclementia
harshness	inclementia
celebrated	inclitus
celebrated	inclutus
celebrated	inclytus
alive	incolomis
uninjured	incolumis
alive	incolumis
safety	incolumitas
inconvenience	incommoditas
disadvantage	incommoditas
inconvenience	incommodum
ailment	incommodum
annoying	incommodus
absurdity	inconcinnitas
awkward	inconcinnus
unshaken	inconcussus
firm	inconcussus
incongruous	incongruus
pass	inconsultus
ill-advised	inconsultus
imperishability	incorruptela
imperishability	incorruptio
chaste	incorruptus
extraordinary	incredibilis
disbelief	incredulitas
incredulous	incredulus
disbelieving	incredulus
uncultivated	incultus
neglect	incultus
disregard	incultus
carelessness	incuria
careless	incuriosus
attack	incursus
assault	incursus
unbecoming	indecor
inglorious	indecor
inglorious	indecoris
uninjured	indemnis
unavoided	index
informer	index
destitute	indigens
indignation	indignatio
anger	indignatio
unworthiness	indignitas
baseness	indignitas
cruel	indignus
negligent	indiligens
careless	indiligens
carelessness	indiligentia
negligence	indiligentia
ineloquent	indisertus
disorderly	indispositus
confused	indispositus
indisputable	indubitabilis
certain	indubius
partic	indulgens
gracious	indulgens
tenderness	indulgentia
concession	indulgentia
difficult	indupeditus
industry	industria
diligence	industria
diligent	industrius
active	industrius
fasting	inedia
ineffective	inefficax
ineffectual	inefficax
tasteless	inelegans
clumsy	inelegans
silliness	ineptia
unsuitable	ineptus
foolish	ineptus
inexcusable	inexcusabilis
inexorable	inexhaustus
unexhausted	inexhaustus
inexorable	inexorabilis
inexperienced	inexpertus
inexpiable	inexpiabilis
implacable	inexpiabilis
impassable	inexplicabilis
boorish	infacetus
disgrace	infamia
ill-famed	infamis
disreputable	infamis
child	infans
unlucky	infaustus
inauspicious	infaustus
unfruitful	infecundus
infertile	infecundus
ill-luck	infelicitas
misfortune	infelicitas
unfruitful	infelix
inauspicious	infelix
hostile	infensus
enraged	infensus
dangerous	infestus
untrue	infidelis
disloyal	infidelis
disloyalty	infidelitas
faithlessness	infidelitas
unfaithful	infidus
feeble	infirmis
weakness	infirmitas
sickness	infirmitas
patient	infirmus
partic	inflatus
bombastic	inflatus
formless	informis
deformed	informis
ugliness	informitas
misfortune	infortunium
unfruitful	infructuosus
talented	ingeniosus
clever	ingeniosus
cleverness	ingenium
trick	ingenium
pecunia	ingens
enormous	ingens
candor	ingenuitas
frank	ingenuus
unpleasant	ingratus
thankless	ingratus
dishonor	inhonestas
morally	inhonestus
degrading	inhonestus
unhonored	inhonoris
enmity	inimicitia
enemy	inimicus
unevenness	iniquitas
inequality	iniquitas
disadvantageous	iniquus
unpleasantness	iniucunditas
unpleasant	iniucundus
injury	iniuria
unjust	iniuriosus
wrongful	iniurius
injustice	iniustitia
unfair	iniustus
gloomy	inlaetabilis
inelegant	inlepidus
decoy	inlex
lawless	inlex
ignoble	inliberalis
illegal	inlicitus
blameless	inmaculatus
barbarity	inmanitas
forgetful	inmemor
forgetfulness	inmemoratio
excessive	inmodicus
god	inmortalis
dirty	inmundus
harmless	innocens
harmlessness	innocentia
harmless	innocuus
harmless	innoxius
disobliging	inofficiosus
need	inopia
dearth	inopia
pass	inopinatus
surprising	inopinatus
poor	inops
destitute	inops
enormous	inormis
inferior	inpar
apathy	inpassibilitas
impatience	inpatientia
imperfection	inperfectio
impious	inpius
headstrong	inpotens
violence	inpotentia
disloyal	inprobus
foolish	inprudens
ignorance	inprudentia
impudent	inpudens
effrontery	inpudentia
foulness	inpuritas
foulness	inpuritia
incorruptible	inputribilis
unquiet	inquies
disquiet	inquies
impatient	inquies
dirty	inquinatus
irrational	inrationabilis
irrational	inrationalis
irrecoverable	inreparabilis
laughter	inrisus
incitement	inritamen
void	inritus
ineffective	inritus
unhealthy	insalubris
incurable	insanabilis
madness	insania
folly	insania
disease	insanitas
demented	insanus
ignorant	inscius
unburied	insepultus
deceitful	insidiosus
cunningly	insidiosus
tainted	insincerus
corrupt	insincerus
foolish	insipiens
foolishness	insipientia
arrogant	insolens
extravagance	insolentia
soft	insolidus
unaccustomed	insolitus
sleeplessness	insomnia
sleepless	insomnis
sleeplessness	insomnium
dream	insomnium
innocent	insons
guiltless	insons
inconstant	instabilis
present	instans
eager	instans
equipped	instructus
provision	instructus
apparatus	instructus
unpleasant	insuauis
insufficient	insufficiens
insufficiency	insufficientia
complete	integer
soundness	integritas
chastity	integritas
bad-tempered	intemperans
excess	intemperantia
unseasonable	intempestiuus
murderer	interfector
assassin	interfector
destruction	interitus
extermination	internecio
extermination	internicio
unterrified	interritus
fearless	interritus
detestable	intestabilis
impatient	intolerabilis
insufferable	intolerandus
impatient	intolerans
insolence	intolerantia
impatience	intolerantia
unconfused	intrepidus
fearless	intrepidus
unprotected	intutus
defenseless	intutus
weak	inualidus
unattractive	inuenustus
shameless	inuerecundus
unconquered	inuictus
envious	inuidus
pass	inuisus
unseen	inuisus
unavenged	inultus
scot-free	inultus
rude	inurbanus
boorish	inurbanus
unusual	inusitatus
strange	inusitatus
useless	inutilis
disadvantageous	inutilis
uselessness	inutilitas
laughable	iocularius
joke	iocus
wrath	ira
anger	ira
passionateness	iracundia
anger	iracundia
irascible	iracundus
angry	iracundus
choleric	irascibilis
angry	iratus
angered	iratus
irrational	irrationabilis
irrational	irrationalis
irrecoverable	irreparabilis
laughingstock	irrisus
incentive	irritamen
ineffective	irritus
pleasantness	iucunditas
pleasant	iucundus
judge	iudex
office	iudicatus
trial	iudicium
altercation	iurgium
broth	ius
right	ius
justice	iustitia
suspension	iustitium
just	iustus
agreeableness	jocundiatas
agreeable	jucundus
blight	kadamitas
quibble	kalumnia
spot	labes
blemish	labes
work	labor
childbirth	labor
childbirth	labos
mangling	laceratio
rejoicing	laetatio
joy	laetatio
grace	laetitia
fertility	laetitia
fat	laetus
cheerful	laetus
left	laeuus
wailing	lamenta
groans	lamenta
mangling	lancinatio
languid	languidulus
limp	languidulus
faintness	languor
lair	latebra
praiseworthy	laudabilis
excellency	laudabilitas
praise	laus
approval	laus
washed	lautus
clean	lautus
legal	legalis
pod-vegetable	legumen
smooth	lenis
calm	lenis
gentleness	lenitas
gentleness	lenitudo
calmness	lenitudo
allurement	lenocinium
slowness	lentitudo
apathy	lentitudo
pleasantness	lepor
charm	lepor
charm	lepos
deadly	letalis
death	letum
mitigation	leuamen
alleviation	leuamentum
bill	lex
partic	libens
cheerful	libens
child	liber
courteous	liberalis
courtesy	liberalitas
freedom	libertas
freedman	libertinus
ex-slave	libertus
capricious	libidinosus
appetite	libido
desire	libido
freedom	licentia
disorderliness	licentia
milt	lien
spleen	lien
spleen	lienis
sidelong	limus
filth	limus
dialect	lingua
litis	lis
lawsuit	lis
contentions	litigiosus
quarrel	litigium
epistolary	litteralis
literary	litterarius
cultured	litteratus
opulent	locuples
gain	lucrum
avarice	lucrum
lamentable	luctuosus
grievous	luctuosus
mourning	luctus
grief	luctus
bright	luculentus
derision	ludibrium
laughingstock	ludibrium
plague	lues
affliction	lues
lurid	luridus
ghastly	luridus
player	lusor
mud	lutum
clay	lutum
rankness	luxuria
extravagance	luxuria
dislocation	luxus
dislocated	luxus
luxury	luxus
raving	lymphatus
frenzy	lymphatus
doleful	maerens
mourning	maeror
grief	maeror
saddening	maestificus
sadness	maestitia
dullness	maestitia
sadness	maestitudo
dullness	maestitudo
gloomy	maestus
master	magister
chief	magister
functionary	magistratus
cursing	maledictum
insult	maledictum
abusive	maledicus
injury	malefactum
wrongdoing	maleficium
crime	maleficium
evil-doing	maleficus
criminal	maleficus
ill-will	maleuolentia
ill-disposed	maleuolus
malicious	malignans
ill-will	malignitas
ill-disposed	malignus
narrow	malignus
fault	malitia
wicked	malitiosus
crafty	malitiosus
apple	malum
evil	malum
bad	malus
plain	manifestarius
flagrant	manifestarius
palpable	manifestus
detected	manifestus
tame	mansues
gentle	mansues
tameness	mansuetudo
clemency	mansuetudo
gentle	mansuetus
flagrant	manufestarius
detected	manufestus
bastard	manzerinus
wife	marita
matron	matrona
matronly	matronalis
bastard	mazer
mindful	memor
commemorative	memor
memory	memoria
history	memoria
lie	mendacium
counterfeit	mendacium
lying	mendax
counterfeit	mendax
beggary	mendicitas
beggar	mendicus
beggarly	mendicus
fault	mendum
blemish	mendum
mind	mens
courage	mens
hired	mercennarius
mercenary	mercennarius
hire	merces
bribe	merces
merit-worthy	merens
desert	meritum
merit	meritum
deserved	meritus
afraid	metuens
