sentence	book	ode	form	polarity	sent_score
0022	1	4	iam Cytherea choros ducit Venus imminente luna iunctae que Nymphis Gratiae decentes alterno terram quatiunt pede dum grauis Cyclopum Volcanus ardens uisit officinas	positive	2.0
0023	1	4	nunc decet aut uiridi nitidum caput impedire myrto aut flore terrae quem ferunt solutae	positive	1.0
0024	1	4	nunc et in umbrosis Fauno decet immolare lucis seu poscat agna siue malit haedo	neutral	0.0
0025	1	4	pallida Mors aequo pulsat pede pauperum tabernas regum que turris	negative	-1.5
0026	1	4	o beate Sesti uitae summa breuis spem nos uetat inchoare longam iam te premet nox fabulae que Manes et domus exilis Plutonia quo simul mearis nec regna uini sortiere talis nec tenerum Lycidan mirabere quo calet iuuentus nunc omnis et mox uirgines tepebunt	positive	1.5
0027	1	5	quis multa gracilis te puer in rosa perfusus liquidis urget odoribus grato Pyrrha sub antro	positive	1.0
0028	1	5	cui flauam religas comam simplex munditiis	positive	1.5
0029	1	5	heu quotiens fidem mutatos que deos flebit et aspera nigris aequora uentis emirabitur insolens qui nunc te fruitur credulus aurea qui semper uacuam semper amabilem sperat nescius aurae fallacis	mixed	0.0
0030	1	5	miseri quibus intemptata nites me tabula sacer uotiua paries indicat uuida suspendisse potenti uestimenta maris deo	positive	1.0
0031	1	6	scriberis Vario fortis et hostium uictor Maeonii carminis alite quam rem cumque ferox nauibus aut equis miles te duce gesserit	negative	-1.0
0032	1	6	nos Agrippa neque haec dicere nec grauem Pelidae stomachum cedere nescii nec cursus duplicis per mare Vlixei nec saeuam Pelopis domum conamur tenues grandia dum pudor inbellis que lyrae Musa potens uetat laudes egregii Caesaris et tuas culpa deterere ingeni	negative	-0.5
0033	1	6	quis Martem tunica tectum adamantina digne scripserit aut puluere Troico nigrum Merionen aut ope Palladis Tydiden superis parem	positive	0.5
0034	1	6	nos conuiuia nos proelia uirginum sectis in iuuenes unguibus acrium cantamus uacui siue quid urimur non praeter solitum leues	negative	-1.0
0035	1	7	laudabunt alii claram Rhodon aut Mytilenen aut Epheson bimaris ue Corinthi moenia uel Baccho Thebas uel Apolline Delphos insignis aut Thessala Tempe sunt quibus unum opus est intactae Palladis urbem carmine perpetuo celebrare et undique decerptam fronti praeponere oliuam plurimus in Iunonis honorem aptum dicet equis Argos ditis que Mycenas me nec tam patiens Lacedaemon nec tam Larisae percussit campus opimae quam domus Albuneae resonantis et praeceps Anio ac Tiburni lucus et uda mobilibus pomaria riuis	positive	2.5
0036	1	7	albus ut obscuro deterget nubila caelo saepe Notus neque parturit imbris perpetuo sic tu sapiens finire memento tristitiam uitae que labores molli Plance mero seu te fulgentia signis castra tenent seu densa tenebit Tiburis umbra tui	mixed	0.0
0037	1	7	Teucer Salamina patrem que cum fugeret tamen uda Lyaeo tempora populea fertur uinxisse corona sic tristis adfatus amicos quo nos cumque feret melior fortuna parente ibimus o socii comites que nil desperandum Teucro duce et auspice Teucro	positive	3.0
0038	1	7	certus enim promisit Apollo ambiguam tellure noua Salamina futuram (est)	positive	0.5
0039	1	7	o fortes peiora que passi me cum saepe uiri nunc uino pellite curas cras ingens iterabimus aequor	negative	-1.5
0040	1	8	Lydia dic per omnis te deos oro Sybarin cur properes amando perdere cur apricum oderit campum patiens pulueris atque solis cur neque militaris inter aequalis equitet Gallica nec lupatis temperet ora frenis	positive	1.0
0041	1	8	cur timet flauum Tiberim tangere	neutral	0.0
0042	1	8	cur oliuum sanguine uiperino cautius uitat neque iam liuida gestat armis bracchia saepe disco saepe trans finem iaculo nobilis expedito	positive	1.0
0043	1	8	quid latet ut marinae filium dicunt Thetidis sub lacrimosa Troiae funera ne uirilis cultus in caedem et Lycias proriperet cateruas	negative	-1.0
0044	1	9	uides ut alta stet niue candidum Soracte nec iam sustineant onus siluae laborantes gelu que flumina constiterint acuto	positive	0.5
0045	1	9	dissolue frigus ligna super foco large reponens atque benignius deprome quadrimum Sabina o Thaliarche merum diota	neutral	0.0
0046	1	9	permitte diuis cetera qui simul strauere uentos aequore feruido deproeliantis nec cupressi nec ueteres agitantur orni	negative	-0.5
0047	1	9	quid sit futurum cras fuge quaerere et quem Fors dierum cumque dabit lucro adpone nec dulcis amores sperne puer neque tu choreas donec uirenti canities abest morosa	positive	1.0
0048	1	9	nunc et campus et areae lenes que sub noctem susurri conposita repetantur hora nunc et latentis proditor intumo gratus puellae risus ab angulo pignus que dereptum lacertis aut digito male pertinaci	positive	2.0
0049	1	10	Mercuri facunde nepos Atlantis qui feros cultus hominum recentum uoce formasti catus et decorae more palaestrae te canam magni Iouis et deorum nuntium curuae que lyrae parentem callidum quidquid placuit iocoso condere furto	positive	1.5
0050	1	10	te boues olim nisi reddidisses per dolum amotas puerum minaci uoce dum terret uiduus pharetra risit Apollo	neutral	0.0
0051	1	10	quin et Atridas duce te superbos Ilio diues Priamus relicto Thessalos que ignis et iniqua Troiae castra fefellit	negative	-1.0
0052	1	10	tu pias laetis animas reponis sedibus uirga que leuem coerces aurea turbam superis deorum gratus et imis	positive	3.0
0053	1	11	tu ne quaesieris scire nefas quem mihi quem tibi finem di dederint Leuconoe nec Babylonios temptaris numeros	negative	-1.0
0054	1	11	ut melius quidquid erit pati	positive	1.0
0055	1	11	seu pluris hiemes seu tribuit Iuppiter ultimam quae nunc oppositis debilitat pumicibus mare Tyrrhenum sapias uina liques et spatio breui spem longam reseces	positive	0.5
0056	1	11	dum loquimur fugerit inuida aetas carpe diem quam minimum credula postero	negative	-1.5
0057	1	12	quem uirum aut heroa lyra uel acri tibia sumis celebrare Clio	positive	0.5
0058	1	12	quem deum	neutral	0.0
0059	1	12	cuius recinet iocosa nomen imago aut in umbrosis Heliconis oris aut super Pindo gelido ue in Haemo	neutral	0.0
0060	1	12	unde uocalem temere insecutae (sunt) Orphea siluae arte materna rapidos morantem fluminum lapsus celeris que uentos blandum et auritas fidibus canoris ducere quercus	positive	1.5
0061	1	12	quid prius dicam solitis parentis laudibus qui res hominum ac deorum qui mare ac terras uariis que mundum temperat horis	positive	3.0
0062	1	12	unde nil maius generatur ipso nec uiget quidquam simile aut secundum	neutral	0.0
0063	1	12	proximos illi tamen occupauit Pallas honores proeliis audax	mixed	0.0
0064	1	12	neque te silebo Liber et saeuis inimica uirgo beluis nec te metuende certa Phoebe sagitta	negative	-1.0
0065	1	12	dicam et Alciden pueros que Ledae hunc equis illum superare pugnis nobilem quorum simul alba nautis stella refulsit defluit saxis agitatus umor concidunt uenti fugiunt que nubes et minax quod sic uoluere ponto unda recumbit	positive	1.0
0066	1	12	Romulum post hos prius an quietum Pompili regnum memorem an superbos Tarquini fasces dubito an Catonis nobile letum	negative	-1.0
0067	1	12	Regulum et Scauros animae que magnae prodigum Paulum superante Poeno gratus insigni referam camena Fabricium que	positive	1.0
0068	1	12	hunc et incomptis Curium capillis utilem bello tulit et Camillum saeua paupertas et auitus apto cum lare fundus	negative	-1.0
0069	1	12	crescit occulto uelut arbor aeuo fama Marcelli micat inter omnis Iulium sidus uelut inter ignis luna minores	positive	1.0
0070	1	12	gentis humanae pater atque custos orte Saturno tibi cura magni Caesaris fatis data (est) tu secundo Caesare regnes	mixed	0.0
0071	1	12	ille seu Parthos Latio imminentis egerit iusto domitos triumpho siue subiectos Orientis orae Seras et Indos te minor laetum reget aequos orbem tu graui curru quaties Olympum tu parum castis inimica mittes fulmina lucis	positive	1.0
0072	1	13	cum tu Lydia Telephi ceruicem roseam cerea Telephi laudas bracchia uae meum feruens difficili bile tumet iecur	negative	-0.5
0073	1	13	tunc nec mens mihi nec color certa sede manet umor et in genas furtim labitur arguens quam lentis penitus macerer ignibus	positive	1.0
0074	1	13	uror seu tibi candidos turparunt umeros inmodicae mero rixae siue puer furens inpressit memorem dente labris notam	negative	-0.5
0075	1	13	non si me satis audias speres perpetuum dulcia barbare laedentem oscula quae Venus quinta parte sui nectaris imbuit	positive	1.5
0076	1	13	felices ter et amplius quos inrupta tenet copula nec malis diuolsus querimoniis suprema citius soluet amor die	positive	0.5
0077	1	14	o nauis referent in mare te noui fluctus	positive	0.5
0078	1	14	o quid agis	neutral	0.0
0079	1	14	fortiter occupa portum	neutral	0.0
0080	1	14	nonne uides ut nudum remigio latus et malus celeri saucius Africo antemnae que gemant ac sine funibus uix durare carinae possint imperiosius aequor	negative	-1.0
0081	1	14	non tibi sunt integra lintea non di quos iterum pressa uoces malo	negative	-0.5
0082	1	14	quamuis Pontica pinus siluae filia nobilis iactes et genus et nomen inutile nil pictis timidus nauita puppibus fidit	negative	-0.5
0083	1	14	tu nisi uentis debes ludibrium caue	negative	-1.0
0084	1	14	nuper sollicitum quae mihi taedium nunc desiderium cura que non leuis interfusa nitentis uites aequora Cycladas	negative	-2.5
0085	1	15	pastor cum traheret per freta nauibus Idaeis Helenen perfidus hospitam ingrato celeris obruit otio uentos ut caneret fera Nereus fata	negative	-2.0
0086	1	15	mala ducis aui domum quam multo repetet Graecia milite coniurata tuas rumpere nuptias et regnum Priami uetus	negative	-1.0
0087	1	15	heu heu quantus equis quantus adest uiris sudor quanta moues funera Dardanae genti	mixed	0.0
0088	1	15	iam galeam Pallas et aegida currus que et rabiem parat	negative	-1.0
0089	1	15	nequiquam Veneris praesidio ferox pectes caesariem grata que feminis inbelli cithara carmina diuides nequiquam thalamo grauis hastas et calami spicula Cnosii uitabis strepitum que et celerem sequi Aiacem tamen heu serus adulteros crines puluere collines	negative	-0.5
0090	1	15	non Laertiaden exitium tuae genti non Pylium Nestora respicis	negative	-1.0
0091	1	15	urgent inpauidi te Salaminius Teucer te Sthenelus sciens pugnae siue opus est imperitare equis non auriga piger	positive	1.0
0092	1	15	Merionen quoque nosces	neutral	0.0
0093	1	15	ecce furit te reperire atrox Tydides melior patre quem tu ceruus uti uallis in altera uisum parte lupum graminis inmemor sublimi fugies mollis anhelitu non hoc pollicitus tuae	negative	-0.5
0094	1	15	iracunda diem proferet Ilio matronis que Phrygum classis Achillei post certas hiemes uret Achaicus ignis Iliacas domos	negative	-1.0
0095	1	16	o matre pulcra filia pulcrior quem criminosis cumque uoles modum pones iambis siue flamma siue Mari libet Hadriano	positive	1.5
0096	1	16	non Dindymene non adytis quatit mentem sacerdotum incola Pythius non Liber aeque non acuta sic geminant Corybantes aera tristes ut irae quas neque Noricus deterret ensis nec mare naufragum nec saeuos ignis nec tremendo Iuppiter ipse ruens tumultu	negative	-2.5
0097	1	16	fertur Prometheus addere principi limo coactus particulam undique desectam et insani leonis uim stomacho adposuisse nostro	mixed	0.0
0098	1	16	irae Thyesten exitio graui strauere et altis urbibus ultimae stetere causae cur perirent funditus inprimeret que muris hostile aratrum exercitus insolens	negative	-3.5
0099	1	16	conpesce mentem me quoque pectoris temptauit in dulci iuuenta feruor et in celeres iambos misit furentem nunc ego mitibus mutare quaero tristia dum mihi fias recantatis amica opprobriis animum que reddas	positive	0.5
0100	1	17	uelox amoenum saepe Lucretilem mutat Lycaeo Faunus et igneam defendit aestatem capellis usque meis pluuios que uentos	neutral	0.0
0101	1	17	inpune tutum per nemus arbutos quaerunt latentis et thyma deuiae olentis uxores mariti nec uiridis metuunt colubras nec Martialis haediliae lupos utcumque dulci Tyndari fistula ualles et Vsticae cubantis leuia personuere saxa	positive	1.0
0102	1	17	di me tuentur dis pietas mea et musa cordi est	positive	1.0
0103	1	17	hic tibi copia manabit ad plenum benigno ruris honorum opulenta cornu	positive	2.5
0104	1	17	hic in reducta ualle caniculae uitabis aestus et fide Teia dices laborantis in uno Penelopen uitream que Circen	positive	1.0
0105	1	17	hic innocentis pocula Lesbii duces sub umbra nec Semeleius cum Marte confundet Thyoneus proelia nec metues proteruum suspecta Cyrum ne male dispari incontinentis iniciat manus et scindat haerentem coronam crinibus inmeritam que uestem	negative	-0.5
0106	1	18	nullam Vare sacra uite prius seueris arborem circa mite solum Tiburis et moenia Catili	positive	2.0
0107	1	18	siccis omnia nam dura deus proposuit neque mordaces aliter diffugiunt sollicitudines	negative	-1.0
0108	1	18	quis post uina grauem militiam aut pauperiem crepat	negative	-1.5
0109	1	18	quis non te potius Bacche pater te que decens Venus	positive	1.0
0110	1	18	ac ne quis modici transiliat munera Liberi Centaurea monet cum Lapithis rixa super mero debellata monet Sithoniis non leuis Euhius cum fas atque nefas exiguo fine libidinum discernunt auidi	negative	-0.5
0111	1	18	non ego te candide Bassareu inuitum quatiam nec uariis obsita frondibus sub diuum rapiam	negative	-1.5
0112	1	18	saeua tene cum Berecyntio cornu tympana quae subsequitur caecus amor sui et tollens uacuum plus nimio gloria uerticem arcani que fides prodiga perlucidior uitro	mixed	0.0
0113	1	19	mater saeua Cupidinum Thebanae que iubet me Semelae puer et lasciua Licentia finitis animum reddere amoribus	negative	-0.5
0114	1	19	urit me Glycerae nitor splendentis Pario marmore purius urit grata proteruitas et uoltus nimium lubricus adspici	positive	1.5
0115	1	19	in me tota ruens Venus Cyprum deseruit nec patitur Scythas et uersis animosum equis Parthum dicere nec quae nihil attinent	positive	1.0
0116	1	19	hic uiuum mihi caespitem hic uerbenas pueri ponite tura que bimi cum patera meri mactata ueniet lenior hostia	positive	1.0
0117	1	20	uile potabis modicis Sabinum cantharis Graeca quod ego ipse testa conditum leui datus (est) in theatro cum tibi plausus clare Maecenas eques ut paterni fluminis ripae simul et iocosa redderet laudes tibi Vaticani Montis imago	positive	1.5
0118	1	20	Caecubum et prelo domitam Caleno tu bibes uuam mea nec Falernae temperant uites neque Formiani pocula colles	neutral	0.0
0119	1	21	Dianam tenerae dicite uirgines intonsum pueri dicite Cynthium Latonam que supremo dilectam penitus Ioui	neutral	0.0
0120	1	21	uos laetam fluuiis et nemorum coma quaecumque aut gelido prominet Algido nigris aut Erymanthi siluis aut uiridis Gragi uos Tempe totidem tollite laudibus natalem que mares Delon Apollinis insignem que pharetra fraterna que umerum lyra	positive	2.0
0121	1	21	hic bellum lacrimosum hic miseram famem pestem que a populo et principe Caesare in Persas atque Britannos uestra motus aget prece	negative	-1.5
0122	1	22	integer uitae sceleris que purus non eget Mauris iaculis neque arcu nec uenenatis grauida sagittis Fusce pharetra siue per Syrtis iter aestuosas siue facturus per inhospitalem Caucasum uel quae loca fabulosus lambit Hydaspes	positive	0.5
0123	1	22	namque me silua lupus in Sabina dum meam canto Lalagen et ultra terminum curis uagor expeditis fugit inermem quale portentum neque militaris Daunias latis alit aesculetis nec Iubae tellus generat leonum arida nutrix	negative	-1.0
0124	1	22	pone me pigris ubi nulla campis arbor aestiua recreatur aura quod latus mundi nebulae malus que Iuppiter urget pone sub curru nimium propinqui solis in terra domibus negata dulce ridentem Lalagen amabo dulce loquentem	positive	1.0
0125	1	23	uitas inuleo me similis Chloe quaerenti pauidam montibus auiis matrem non sine uano aurarum et siluae metu	negative	-1.5
0126	1	23	nam seu mobilibus ueris inhorruit aduentus foliis seu uirides rubum dimouere lacertae et corde et genibus tremit	neutral	0.0
0127	1	23	atqui non ego te tigris ut aspera Gaetulus ue leo frangere persequor tandem desine matrem tempestiua sequi uiro	mixed	0.0
0128	1	24	quis desiderio sit pudor aut modus tam cari capitis	positive	2.0
0129	1	24	praecipe lugubris cantus Melpomene cui liquidam pater uocem cum cithara dedit	neutral	0.0
0130	1	24	ergo Quintilium perpetuus sopor urget cui Pudor et Iustitiae soror incorrupta Fides nuda que Veritas quando ullum inueniet parem	positive	4.5
0131	1	24	multis ille bonis flebilis occidit nulli flebilior quam tibi Vergili	negative	-1.0
0132	1	24	tu frustra pius heu non ita creditum poscis Quintilium deos	neutral	0.0
0133	1	24	quid	neutral	0.0
0134	1	24	si Threicio blandius Orpheo auditam moderere arboribus fidem num uanae redeat sanguis imagini quam uirga semel horrida non lenis precibus fata recludere nigro conpulerit Mercurius gregi	positive	0.5
0135	1	24	durum sed leuius fit patientia quidquid corrigere est nefas	negative	-1.5
0136	1	25	parcius iunctas quatiunt fenestras iactibus crebris iuuenes proterui nec tibi somnos adimunt amat que ianua limen quae prius multum facilis mouebat cardines	positive	0.5
0137	1	25	audis minus et minus iam me tuo longas pereunte noctes Lydia dormis	neutral	0.0
0138	1	25	in uicem in uicem moechos anus arrogantis flebis in solo leuis angiportu Thracio bacchante magis sub inter <lunia> <inter> lunia uento cum tibi flagrans amor et libido quae solet matres furiare equorum saeuiet circa iecur ulcerosum non sine questu laeta quod pubes hedera uirenti gaudeat pulla magis atque myrto aridas frondes hiemis sodali dedicet Euro	negative	-0.5
0139	1	26	Musis amicus tristitiam et metus tradam proteruis in mare Creticum portare uentis quis sub Arcto rex gelidae metuatur orae quid Tiridaten terreat unice securus	negative	-0.5
0140	1	26	o quae fontibus integris gaudes apricos necte flores necte meo Lamiae coronam Piplei dulcis	positive	1.5
0141	1	26	nil sine te mei prosunt honores hunc fidibus nouis hunc Lesbio sacrare plectro te que tuas que decet sorores	positive	2.5
0142	1	27	natis in usum laetitiae scyphis pugnare Thracum est tollite barbarum morem uerecundum que Bacchum sanguineis prohibete rixis	positive	2.5
0143	1	27	uino et lucernis Medus acinaces immane quantum discrepat inpium lenite clamorem sodales et cubito remanete presso	mixed	0.0
0144	1	27	uoltis seueri me quoque sumere partem Falerni	neutral	0.0
0145	1	27	dicat Opuntiae frater Megyllae quo beatus uolnere qua pereat sagitta	mixed	0.0
0146	1	27	cessat uoluntas	neutral	0.0
0147	1	27	non alia bibam mercede	positive	1.0
0148	1	27	quae te cumque domat Venus non erubescendis adurit ignibus ingenuo que semper amore peccas	positive	2.5
0149	1	27	quidquid habes age depone tutis auribus	positive	0.5
0150	1	27	a miser quanta laborabas Charybdi digne puer meliore flamma	positive	1.0
0151	1	27	quae saga quis te soluere Thessalis magus uenenis quis poterit deus	negative	-0.5
0152	1	27	uix inligatum te triformi Pegasus expediet Chimaera	neutral	0.0
0153	1	28	te maris et terrae numero que carentis harenae mensorem cohibent Archyta pulueris exigui prope litus parua Matinum munera nec quicquam tibi prodest aerias temptasse domos animo que rotundum percurrisse polum morituro	positive	1.0
0154	1	28	occidit et Pelopis genitor conuiua deorum Tithonus que remotus in auras et Iouis arcanis Minos admissus habent que Tartara Panthoiden iterum Orco demissum quamuis clipeo Troiana refixo tempora testatus nihil ultra neruos atque cutem morti concesserat atrae iudice te non sordidus auctor naturae ueri que	positive	0.5
0155	1	28	sed omnis una manet nox et calcanda semel uia leti	negative	-1.0
0156	1	28	dant alios Furiae toruo spectacula Marti exitio est auidum mare nautis mixta senum ac iuuenum densentur funera nullum saeua caput Proserpina fugit	negative	-2.5
0157	1	28	me quoque deuexi rapidus comes Orionis Illyricis Notus obruit undis	neutral	0.0
0158	1	28	at tu nauta uagae ne parce malignus harenae ossibus et capiti inhumato particulam dare sic quodcumque minabitur Eurus fluctibus Hesperiis Venusinae plectantur siluae te sospite multa que merces unde potest tibi defluat aequo ab Ioue Neptuno que sacri custode Tarenti	positive	2.5
0159	1	28	neglegis inmeritis nocituram postmodo te natis fraudem conmittere	negative	-1.0
0160	1	28	fors et debita iura uices que superbae te maneant ipsum precibus non linquar inultis te que piacula nulla resoluent	negative	-1.0
0161	1	28	quamquam festinas non est mora longa licebit iniecto ter puluere curras	neutral	0.0
0162	1	29	Icci beatis nunc Arabum inuides gazis et acrem militiam paras non ante deuictis Sabaeae regibus horribili que Medo nectis catenas	positive	1.0
0163	1	29	quae tibi uirginum sponso necato barbara seruiet puer quis ex aula capillis ad cyathum statuetur unctis doctus sagittas tendere Sericas arcu paterno	neutral	0.0
0164	1	29	quis neget arduis pronos relabi posse riuos montibus et Tiberim reuerti cum tu coemptos undique nobilis libros Panaeti Socraticam et domum mutare loricis Hiberis pollicitus meliora tendis	positive	2.5
0165	1	30	o Venus regina Cnidi Paphi que sperne dilectam Cypron et uocantis ture te multo Glycerae decoram transfer in aedem	positive	1.0
0166	1	30	feruidus te cum puer et solutis Gratiae zonis properent que Nymphae et parum comis sine te Iuuentas Mercurius que	positive	1.5
0167	1	31	quid dedicatum poscit Apollinem uates	neutral	0.0
0168	1	31	quid orat de patera nouum fundens liquorem	positive	0.5
0169	1	31	non opimae Sardiniae segetes feracis non aestuosae grata Calabriae armenta non aurum aut ebur Indicum non rura quae Liris quieta mordet aqua taciturnus amnis	positive	2.5
0170	1	31	premant Calenam falce quibus dedit fortuna uitem diues ut aureis mercator exsiccet culillis uina Syra reparata merce dis carus ipsis quippe ter et quater anno reuisens aequor Atlanticum inpune	positive	2.0
0171	1	31	me pascunt oliuae me cichorea leues que maluae	neutral	0.0
0172	1	31	frui paratis et ualido mihi Latoe dones et precor integra cum mente nec turpem senectam degere nec cithara carentem	positive	1.5
0173	1	32	poscimus si quid uacui sub umbra lusimus te cum quod et hunc in annum uiuat et pluris age dic Latinum barbite carmen Lesbio primum modulate ciui qui ferox bello tamen inter arma siue iactatam religarat udo litore nauim Liberum et Musas Venerem que et illi semper haerentem puerum canebat et Lycum nigris oculis nigro que crine decorum	positive	2.0
0174	1	32	o decus Phoebi et dapibus supremi grata testudo Iouis o laborum dulce lenimen mihi cumque salue rite uocanti	positive	1.0
0175	1	33	Albi ne doleas plus nimio memor inmitis Glycerae neu miserabilis decantes elegos cur tibi iunior laesa praeniteat fide	negative	-0.5
0176	1	33	insignem tenui fronte Lycorida Cyri torret amor Cyrus in asperam declinat Pholoen sed prius <quam> Apulis iungentur capreae lupis <prius> quam turpi Pholoe peccet adultero	negative	-1.5
0177	1	33	sic uisum (est) Veneri cui placet inparis formas atque animos sub iuga aenea saeuo mittere cum ioco	positive	0.5
0178	1	33	ipsum me melior cum peteret Venus grata detinuit compede Myrtale libertina fretis acrior Hadriae curuantis Calabros sinus	positive	3.0
0179	1	34	parcus deorum cultor et infrequens insanientis dum sapientiae consultus erro nunc retrorsum uela dare atque iterare cursus cogor relictos	positive	2.0
0180	1	34	namque Diespiter igni corusco nubila diuidens plerumque per purum tonantis egit equos uolucrem que currum quo bruta tellus et uaga flumina quo Styx et inuisi horrida Taenari sedes Atlanteus que finis concutitur	negative	-1.5
0181	1	34	ualet ima summis mutare et insignem attenuat deus obscura promens hinc apicem rapax Fortuna cum stridore acuto sustulit hic posuisse gaudet	neutral	0.0
0182	1	35	o diua gratum quae regis Antium praesens uel imo tollere de gradu mortale corpus uel superbos uertere funeribus triumphos te pauper ambit sollicita prece ruris colonus te dominam aequoris quicumque Bithyna lacessit Carpathium pelagus carina te Dacus asper te profugi Scythae urbes que gentes que et Latium ferox regum que matres barbarorum et purpurei metuunt tyranni iniurioso ne pede proruas stantem columnam neu populus frequens ad arma cessantis ad arma concitet imperium que frangat	negative	-5.5
0183	1	35	te semper anteit saeua Necessitas clauos trabalis et cuneos manu gestans aena nec seuerus uncus abest liquidum que plumbum te Spes et albo rara Fides colit uelata panno nec comitem abnegat utcumque mutata potentis ueste domos inimica linquis at uolgus infidum et meretrix retro periura cedit diffugiunt cadis cum faece siccatis amici ferre iugum pariter dolosi serues iturum Caesarem in ultimos orbis Britannos et iuuenum recens examen Eois timendum partibus Oceano que Rubro	negative	-1.5
0184	1	35	heu heu cicatricum et sceleris pudet fratrum que	negative	-1.5
0185	1	35	quid nos dura refugimus aetas	negative	-0.5
0186	1	35	quid intactum nefasti liquimus	neutral	0.0
0187	1	35	unde manum iuuentus metu deorum continuit	negative	-1.0
0188	1	35	quibus pepercit aris	neutral	0.0
0189	1	35	o utinam noua incude diffingas retusum in Massagetas Arabas que ferrum	positive	0.5
0190	1	36	et ture et fidibus iuuat placare et uituli sanguine debito custodes Numidae deos qui nunc Hesperia sospes ab ultima caris multa sodalibus nulli plura tamen diuidit oscula quam dulci Lamiae memor actae non alio rege puertiae mutatae que simul togae	positive	5.0
