Ode	Sentence	Text	Value
2.13	262	nauita Bosphorum Poenus perhorrescit neque ultra caeca timet aliunde fata miles sagittas et celerem fugam Parthi catenas Parthus et Italum robur sed inprouisa leti uis rapuit rapiet que gentis	negative
2.13	263	quam paene furuae regna Proserpinae et iudicantem uidimus Aeacum sedes que discretas piorum et Aeoliis fidibus querentem Sappho puellis de popularibus et te sonantem plenius aureo Alcaee plectro dura nauis dura fugae mala dura belli	mixed
2.13	264	utrumque sacro digna silentio mirantur umbrae dicere sed magis pugnas et exactos tyrannos densum umeris bibit aure uolgus	positive
2.13	265	quid mirum ubi illis carminibus stupens demittit atras belua centiceps auris et intorti capillis Eumenidum recreantur angues	mixed
2.13	266	quin et Prometheus et Pelopis parens dulci laborem decipitur sono nec curat Orion leones aut timidos agitare lyncas	positive
3.13	399	o fons Bandusiae splendidior uitro dulci digne mero non sine floribus cras donaberis haedo cui frons turgida cornibus primis et uenerem et proelia destinat frustra nam gelidos inficiet tibi rubro sanguine riuos lasciui suboles gregis	mixed
3.13	400	te flagrantis atrox hora Caniculae nescit tangere tu frigus amabile fessis uomere tauris praebes et pecori uago	positive
3.13	401	fies nobilium tu quoque fontium me dicente cauis inpositam ilicem saxis unde loquaces lymphae desiliunt tuae	positive
4.7	543	diffugere niues redeunt iam gramina campis arboribus que comae mutat terra uices et decrescentia ripas flumina praetereunt	positive
4.7	544	Gratia cum Nymphis geminis que sororibus audet ducere nuda choros	positive
4.7	545	inmortalia ne speres monet annus et almum quae rapit hora diem	negative
4.7	546	frigora mitescunt Zephyris uer proterit aestas interitura simul pomifer autumnus fruges effuderit et mox bruma recurrit iners	mixed
4.7	547	damna tamen celeres reparant caelestia lunae nos ubi decidimus quo pius Aeneas quo diues Tullus et Ancus puluis et umbra sumus	negative
4.7	548	quis scit an adiciant hodiernae crastina summae tempora di superi	negative
4.7	549	cuncta manus auidas fugient heredis amico quae dederis animo	negative
4.7	550	cum semel occideris et de te splendida Minos fecerit arbitria non Torquate genus non te facundia non te restituet pietas	negative
4.7	551	infernis neque enim tenebris Diana pudicum liberat Hippolytum nec Lethaea ualet Theseus abrumpere caro uincula Pirithoo	negative
