	book	ode	sentence	text
18	1	3	0019	experior uacuus daedalus aer penna non homo do perrumpo acheron herculeus labor
19	1	3	0020	nihil mortalis arduum sum caelum ipse peto stultitia neque per noster patior scelus iracundus iuppiter pono fulmen
20	1	4	0021	soluo acer hiems gratus uicis uer et fauonius traho que siccus machina carina ac neque iam stabulum gaudeo pecus aut arator ignis nec pratum canus albico pruina
21	1	4	0022	iam cythereus chorus duco uenus immineo luna iungo que nympha gratia decens alternus terra quatio pes dum grauis cyclops uulcanus ardens uiso officina
22	1	4	0023	nunc decet aut uiridis nitidus caput impedio myrtus aut flos terra qui fero solutus
23	1	4	0024	nunc et in umbrosus faunus decet immolo lucus seu posco agna siue malo haedus
24	1	4	0025	pallidus mors aequus pulso pes pauper taberna rex que turris
25	1	4	0026	o beatus sestius uita summa breuis spes nos ueto incoho longus iam tu premo nox fabula que manes et domus exilis plutonius quo simul meo nec regnum uinum sortior talus nec tener lycidas miror qui caleo iuuentus nunc omnis et mox uirgo tepeo
26	1	5	0027	quis multus gracilis tu puer in rosa perfundo liquidus urgeo odor gratus pyrrha sub antrum
27	1	5	0028	quis flauus religo coma simplex munditia
28	1	5	0029	heu quotiens fides muto que deus fleo et asper niger aequor uentus emiror insolens qui nunc tu fruor credulus aureus qui semper uacuus semper amabilis spero nescius aura fallax
29	1	5	0030	miser qui intento niteo ego tabula sacer uotiuus paries indico uuidus suspendo potens uestimentum mare deus
30	1	6	0031	scribo uarius fortis et hostis uictor maeonius carmen ales qui res cumque ferox nauis aut equus miles tu dux gero
31	1	6	0032	nos agrippa neque hic dico nec grauis pelides stomachus cedo nescius nec cursus duplex per mare ulixes nec saeuus pelops domus conor tenuis grandis dum pudor imbellis que lyra musa potens ueto laus egregius caesar et tuus culpa detero ingenium
32	1	6	0033	quis mars tunica tego adamantinus digne scribo aut puluis troicus niger meriones aut ops pallas tydides superi par
33	1	6	0034	nos conuiuium nos proelium uirgo seco in iuuenis unguis acer canto uacuus siue quis uro non praeter solitum leuis
34	1	7	0035	laudo alius clarus rhodus aut mytilena aut ephesus bimaris ue corinthus moenia uel bacchus thebae uel apollo delphi insignis aut thessalus tempe sum qui unus opus sum intactus pallas urbs carmen perpetuus celebro et undique decerpo frons praepono oliua multus in iuno honor aptus dico equus argos diues que mycenae ego nec tam patiens lacedaemon nec tam larisa percutio campus opimus quam domus albunea resono et praeceps anio ac tiburnus lucus et udus mobilis pomarium riuus
35	1	7	0036	albus ut obscurus detergeo nubilum caelum saepe notus neque parturio imber perpetuo sic tu sapiens finio memini tristitia uita que labor mollis plancus merum seu tu fulgeo signum castra teneo seu densus teneo tibur umbra tuus
36	1	7	0037	teucer salamis pater que cum fugio tamen udus lyaeus tempus populeus fero uincio corona sic tristis affor amicus quo nos cumque fero bonus fortuna parens eo o socius comes que nihil despero teucer dux et auspex teucer
37	1	7	0038	certus enim promitto apollo ambiguus tellus nouus salamis sum
38	1	7	0039	o fortis malus que patior ego cum saepe uir nunc uinum pello cura cras ingens itero aequor
39	1	8	0040	lydia dico per omnis tu deus oro sybaris cur propero amo perdo cur apricus odi campus patiens puluis atque sol cur neque militaris inter aequalis equito gallicus nec lupatus tempero os frenum
40	1	8	0041	cur timeo flauus tiberis tango
41	1	8	0042	cur oliuum sanguis uiperinus caute uito neque iam liuidus gesto arma brachium saepe discus saepe trans finis iaculum nobilis expedio
42	1	8	0043	quis lateo ut marinus filius dico thetis sub lacrimosus troia funus ne uirilis cultus in caedes et lycius proripio caterua
43	1	9	0044	uideo ut altus sto nix candidus soracte nec iam sustineo onus silua laboro gelu que flumen consisto acutus
44	1	9	0045	dissoluo frigus lignum super focus large repono atque benigne depromo quadrimus sabinus o thaliarchus merum diota
45	1	9	0046	permitto diuus cetera qui simul sterno uentus aequor feruidus deproelior nec cupressus nec uetus agito ornus
46	1	9	0047	quis sum sum cras fugio quaero et qui fors dies cumque do lucrum appono nec dulcis amor sperno puer neque tu chorea donec uirens canities absum morosus
47	1	9	0048	nunc et campus et area lenis que sub nox susurrus compositus repeto hora nunc et lateo proditor interior gratus puella risus ab angulus pignus que deripio lacertus aut digitus male pertinax
48	1	10	0049	mercurius facundus nepos atlas qui ferus cultus homo recens uox formo catus et decorus mos palaestra tu cano magnus iuppiter et deus nuntius curuus que lyra parens callidus quisquis placeo iocosus condo furtum
49	1	10	0050	tu bos olim nisi reddo per dolus amoueo puer minax uox dum terreo uiduus pharetra rideo apollo
50	1	10	0051	quin et atrides dux tu superbus ilium diues priamus relinquo thessalus que ignis et iniquus troia castra fallo
51	1	10	0052	tu pius laetus anima repono sedes uirga que leuis coerceo aureus turba superi deus gratus et inferus
52	1	11	0053	tu ne quaero scio nefas quis ego quis tu finis deus do leuconoe nec babylonius tento numerus
53	1	11	0054	ut bonus quisquis sum patior
54	1	11	0055	seu multus hiems seu tribuo iuppiter ultimus qui nunc oppositus debilito pumex mare tyrrhenus sapio uinum liquo et spatium breuis spes longus reseco
55	1	11	0056	dum loquor fugio inuidus aetas carpo dies quam minimum credulus posterus
56	1	12	0057	quis uir aut heros lyra uel acer tibia sumo celebro clio
57	1	12	0058	quis deus
58	1	12	0059	quis recino iocosus nomen imago aut in umbrosus helicon ora aut super pindus gelidus ue in haemus
59	1	12	0060	unde uocalis temere insequor orpheus silua ars maternus rapidus moror flumen lapsus celer que uentus blandus et auritus fides canorus duco quercus
60	1	12	0061	quis prior dico solitus parens laus qui res homo ac deus qui mare ac terra uarius que mundus tempero hora
61	1	12	0062	unde nihil magnus genero ipse nec uigeo quisquam similis aut secundus
62	1	12	0063	propior ille tamen occupo pallas honor proelium audax
63	1	12	0064	neque tu sileo liber et saeuus inimicus uirgo bellua nec tu metuo certus phoebus sagitta
64	1	12	0065	dico et alcides puer que leda hic equus ille supero pugnus nobilis qui simul albus nauta stella refulgeo defluo saxum agito humor concido uentus fugio que nubes et minax quod sic uolo pontus unda recumbo
65	1	12	0066	romulus post hic prius an quietus pompilius regnum memoro an superbus tarquinius fascis dubito an cato nobilis letum
66	1	12	0067	regulus et scaurus anima que magnus prodigus paulus supero poenus gratus insignis refero camena fabricius que
67	1	12	0068	hic et incomptus curius capillus utilis bellum fero et camillus saeuus paupertas et auitus aptus cum lar fundus
68	1	12	0069	cresco occultus uelut arbor aeuum fama marcellus mico inter omnis iulius sidus uelut inter ignis luna paruus
69	1	12	0070	gens humanus pater atque custos orior saturnus tu cura magnus caesar fatum do tu secundus caesar regno
70	1	12	0071	ille seu parthi latium immineo ago iustus domo triumphus siue subicio oriens ora seres et indi tu paruus laetus rego aequus orbis tu grauis currus quatio olympus tu parum castus inimicus mitto fulmen lucus
71	1	13	0072	cum tu lydia telephus ceruix roseus cereus telephus laudo brachium uae meus ferueo difficilis bilis tumeo iecur
72	1	13	0073	tunc nec mens ego nec color certus sedes maneo humor et in gena furtim labor arguo quam lentus penitus macero ignis
73	1	13	0074	uro seu tu candidus turpo humerus immodicus merum rixa siue puer furens imprimo memor dens labrum nota
74	1	13	0075	non si ego satis audio spero perpetuus dulcis barbare laedo osculum qui uenus quintus pars suus nectar imbuo
75	1	13	0076	felix ter et ample qui irruptus teneo copula nec malus diuello querimonia superus cito soluo amor dies
76	1	14	0077	o nauis refero in mare tu nouus fluctus
77	1	14	0078	o quis ago
78	1	14	0079	fortiter occupo portus
79	1	14	0080	nonne uideo ut nudus remigium latus et malus celer saucius africus antenna que gemo ac sine funis uix duro carina possum imperiosus aequor
80	1	14	0081	non tu sum integer linteum non deus qui iterum premo uoco malum
81	1	14	0082	quamuis ponticus pinus silua filia nobilis iacto et genus et nomen inutilis nihil pingo timidus nauta puppis fido
82	1	14	0083	tu nisi uentus debeo ludibrium caueo
83	1	14	0084	nuper sollicitus qui ego taedium nunc desiderium cura que non leuis interfundo nitens uito aequor cyclas
84	1	15	0085	pastor cum traho per fretum nauis idaeus helena perfidus hospita ingratus celer obruo otium uentus ut cano ferus nereus fatum
85	1	15	0086	malus duco auis domus qui multus repeto graecia miles coniuro tuus rumpo nuptiae et regnum priamus uetus
86	1	15	0087	heu heu quantus equus quantus assum uir sudor quantus moueo funus dardanus gens
87	1	15	0088	iam galea pallas et aegis currus que et rabies paro
88	1	15	0089	nequiquam uenus praesidium ferox pecto caesaries gratus que femina imbellis cithara carmen diuido nequiquam thalamus grauis hasta et calamus spiculum gnosius uito strepitus que et celer sequor aiax tamen heu serus adulter crinis puluis collino
89	1	15	0090	non laertiades exitium tuus gens non pylius nestor respicio
90	1	15	0091	urgeo impauidus tu salaminius teucer tu sthenelus sciens pugna siue opus sum imperito equus non auriga piger
91	1	15	0092	meriones quoque nosco
92	1	15	0093	ecce furo tu reperio atrox tydides bonus pater qui tu ceruus ut uallis in alter uideo pars lupus gramen immemor sublimis fugio mollis anhelitus non hic polliceor tuus
93	1	15	0094	iracundus dies profero ilium matrona que phryges classis achilles post certus hiems uro achaicus ignis iliacus domus
94	1	16	0095	o mater pulcher filia pulcher qui criminosus cumque uolo modus pono iambus siue flamma siue mare libet hadrianus
95	1	16	0096	non dindymena non adytum quatio mens sacerdos incola pythius non liber aeque non acutus sic gemino corybantes aes tristis ut ira qui neque noricus deterreo ensis nec mare naufragus nec saeuus ignis nec tremendus iuppiter ipse ruo tumultus
96	1	16	0097	fero prometheus addo princeps limus cogo particula undique deseco et insanus leo uis stomachus appono noster
97	1	16	0098	ira thyestes exitium grauis sterno et altus urbs ultimus sto causa cur pereo funditus imprimo que murus hostilis aratrum exercitus insolens
98	1	16	0099	compesco mens ego quoque pectus tento in dulcis iuuenta feruor et in celer iambus mitto furens nunc ego mitis muto quaero tristis dum ego fio recanto amica opprobrium animus que reddo
99	1	17	0100	uelox amoenus saepe lucretilis muto lycaeus faunus et igneus defendo aestas capella usque meus pluuius que uentus
100	1	17	0101	impune tutus per nemus arbutus quaero lateo et thymum deuius oleo uxor maritus nec uiridis metuo colubra nec martialis haedilia lupus utcumque dulcis tyndaris fistula uallis et ustica cubo leuis persono saxum
101	1	17	0102	deus ego tueor deus pietas meus et musa cor sum
102	1	17	0103	hic tu copia mano ad plenum benignus rus honor opulentus cornu
103	1	17	0104	hic in reductus uallis canicula uito aestus et fides teius dico laboro in unus penelope uitreus que circe
104	1	17	0105	hic innocens poculum lesbium duco sub umbra nec semeleius cum mars confundo thyoneus proelium nec metuo proteruus suspicio cyrus ne male dispar incontinens inicio manus et scindo haereo corona crinis immeritus que uestis
105	1	18	0106	nullus uarus sacer uitis prius sero arbor circa mitis solum tibur et moenia catilus
106	1	18	0107	siccus omnis nam durus deus propono neque mordax aliter diffugio sollicitudo
107	1	18	0108	quis post uinum grauis militia aut pauperies crepo
108	1	18	0109	quis non tu potius bacchus pater tu que decens uenus
109	1	18	0110	ac ne quis modicus transilio munus liber centaureus moneo cum lapithae rixa super merum debello moneo sithonii non leuis euhius cum fas atque nefas exiguus finis libido discerno auidus
110	1	18	0111	non ego tu candidus bassareus inuitus quatio nec uarius obsero frons sub diuum rapio
111	1	18	0112	saeuus teneo cum berecyntius cornu tympanum qui subsequor caecus amor sui et tollo uacuus multum nimium gloria uertex arcanum que fides prodigus pellucidus uitrum
112	1	19	0113	mater saeuus cupido thebanus que iubeo ego semele puer et lasciuus licentia finio animus reddo amor
113	1	19	0114	uro ego glycera nitor splendeo parius marmor pure uro gratus proteruitas et uultus nimium lubricus aspicio
114	1	19	0115	in ego totus ruo uenus cyprus desero nec patior scythae et uerto animosus equus parthus dico nec qui nihil attineo
115	1	19	0116	hic uiuus ego caespes hic uerbena puer pono tus que bimus cum patera merum macto uenio lenis hostia
116	1	20	0117	uilis poto modicus sabinum cantharus graecus qui ego ipse testa condo lino do in theatrum cum tu plausus carus maecenas eques ut paternus flumen ripa simul et iocosus reddo laus tu uaticanus mons imago
117	1	20	0118	caecubum et prelum domo calenus tu bibo uua meus nec falernus tempero uitis neque formianus poculum collis
118	1	21	0119	diana tener dico uirgo intonsus puer dico cynthius latona que superus diligo penitus iuppiter
119	1	21	0120	uos laetus fluuius et nemus coma quicumque aut gelidus promineo algidus niger aut erymanthus silua aut uiridis cragus uos tempe totidem tollo laus natalis que mas delos apollo insignis que pharetra fraternus que humerus lyra
120	1	21	0121	hic bellum lacrimosus hic miser fames pestis que ab populus et princeps caesar in persae atque britanni uester moueo ago prex
121	1	22	0122	integer uita scelus que purus non egeo maurus iaculum neque arcus nec uenenatus grauidus sagitta fuscus pharetra siue per syrtis iter aestuosus siue facio per inhospitalis caucasus uel qui locus fabulosus lambo hydaspes
122	1	22	0123	namque ego silua lupus in sabinus dum meus canto lalage et ultra terminus cura uagor expedito fugio inermis qualis portentum neque militaris daunias latus alo aesculetum nec iuba tellus genero leo aridus nutrix
123	1	22	0124	pono ego piger ubi nullus campus arbor aestiuus recreo aura qui latus mundus nebula malus que iuppiter urgeo pono sub currus nimium propinquus sol in terra domus nego dulce rideo lalage amo dulce loquor
124	1	23	0125	uito hinnuleus ego similis chloe quaero pauidus mons auius mater non sine uanus aura et silua metus
125	1	23	0126	nam seu mobilis uer inhorresco aduentus folium seu uiridis rubus dimoueo lacerta et cor et genu tremo
126	1	23	0127	atqui non ego tu tigris ut asper gaetulus ue leo frango persequor tandem desino mater tempestiuus sequor uir
127	1	24	0128	quis desiderium sum pudor aut modus tam carus caput
128	1	24	0129	praecipio lugubris cantus melpomene qui liquidus pater uox cum cithara do
129	1	24	0130	ergo quintilius perpetuus sopor urgeo qui pudor et iustitia soror incorruptus fides nudus que ueritas quando ullus inuenio par
130	1	24	0131	multus ille boni flebilis occido nullus flebilis quam tu uergilius
131	1	24	0132	tu frustra pius heu non ita credo posco quintilius deus
132	1	24	0133	quis
133	1	24	0134	si threicius blande orpheus audio moderor arbor fides num uanus redeo sanguis imago qui uirga semel horridus non lenis prex fatum recludo niger compello mercurius grex
134	1	24	0135	durus sed leuis fio patientia quisquis corrigo sum nefas
135	1	25	0136	parce iungo quatio fenestra iactus creber iuuenis proteruus nec tu somnus adimo amo que ianua limen qui prius multum facilis moueo cardo
136	1	25	0137	audio parum et parum iam ego tuus longus pereo nox lydia dormio
137	1	25	0138	inuicem # moechus anus arrogans fleo in solus leuis angiportus thracius bacchor magis sub # interlunium uentus cum tu flagrans amor et libido qui soleo mater furio equus saeuio circa iecur ulcerosus non sine questus laetus quod pubes hedera uirens gaudeo pullus magis atque myrtus aridus frons hiems sodalis dedico eurus
138	1	26	0139	musa amicus tristitia et metus trado proteruus in mare creticus porto uentus quis sub arctus rex gelidus metuo ora quis tiridates terreo unice securus
139	1	26	0140	o qui fons integer gaudeo apricus necto flos necto meus lamia corona pimpleis dulcis
140	1	26	0141	nihil sine tu meus prosum honor hic fides nouus hic lesbius sacro plectrum tu que tuus que decet soror
141	1	27	0142	natus in usus laetitia scyphus pugno thraces sum tollo barbarus mos uerecundus que bacchus sanguineus prohibeo rixa
142	1	27	0143	uinum et lucerna medus acinaces immanis quantum discrepo impius lenio clamor sodalis et cubitum remaneo premo
143	1	27	0144	uolo seuerus ego quoque sumo pars falernum
144	1	27	0145	dico opuntius frater megylla quis beatus uulnus quis pereo sagitta
145	1	27	0146	cesso uoluntas
146	1	27	0147	non alius bibo merces
147	1	27	0148	qui tu cumque domo uenus non erubesco aduro ignis ingenuus que semper amor pecco
148	1	27	0149	quisquis habeo age depono tutus auris
149	1	27	0150	ah miser quantus laboro charybdis dignus puer bonus flamma
150	1	27	0151	quis saga quis tu soluo thessalus magus uenenum quis possum deus
151	1	27	0152	uix illigo tu triformis pegasus expedio chimaera
152	1	28	0153	tu mare et terra numerus que careo arena mensor cohibeo archytas puluis exiguus prope litus paruus matinus munus nec quisquam tu prosum aerius tento domus animus que rotundus percurro polus morior
153	1	28	0154	occido et pelops genitor conuiua deus tithonus que remoueo in aura et iuppiter arcanum minos admitto habeo que tartara panthoides iterum orcus demitto quamuis clipeus troianus refigo tempus testor nihil ultra neruus atque cutis mors concedo ater iudex tu non sordidus auctor natura uerum que
154	1	28	0155	sed omnis unus maneo nox et calco semel uia letum
155	1	28	0156	do alius furia toruus spectaculum mars exitium sum auidus mare nauta misceo senex ac iuuenis denseo funus nullus saeuus caput proserpina fugio
156	1	28	0157	ego quoque deuexus rapidus comes orion illyricus notus obruo unda
157	1	28	0158	at tu nauta uagus ne parco malignus arena os et caput inhumatus particula do sic quicumque minor eurus fluctus hesperius uenusinus plecto silua tu sospes multus que merces unde possum tu defluo aequus ab iuppiter neptunus que sacer custos tarentum
158	1	28	0159	negligo immeritus noceo postmodo tu nascor fraus committo
159	1	28	0160	fors et debeo ius uicis que superbus tu maneo ipse prex non linquo inultus tu que piaculum nullus resoluo
160	1	28	0161	quamquam festino non sum mora longus licet inicio ter puluis curro
161	1	29	0162	iccius beatus nunc arabes inuideo gaza et acer militia paro non ante deuinco sabaea rex horribilis que medus necto catena
162	1	29	0163	quis tu uirgo sponsus neco barbarus seruio puer quis ex aula capillus ad cyathus statuo ungo doceo sagitta tendo sericus arcus paternus
163	1	29	0164	quis nego arduus pronus relabor possum riuus mons et tiberis reuertor cum tu coemo undique nobilis liber panaetius socraticus et domus muto lorica iberus polliceor bonus tendo
164	1	30	0165	o uenus regina cnidus paphus que sperno diligo cyprus et uoco tus tu multus glycera decorus transfero in aedes
165	1	30	0166	feruidus tu cum puer et solutus gratia zona propero que nympha et parum comis sine tu iuuentas mercurius que
166	1	31	0167	quis dedico posco apollo uates
167	1	31	0168	quis oro de patera nouus fundo liquor
168	1	31	0169	non opimus sardinia seges ferax non aestuosus gratus calabria armentum non aurum aut ebur indicus non rus qui liris quietus mordeo aqua taciturnus amnis
169	1	31	0170	premo calenus falx qui do fortuna uitis diues ut aureus mercator exsicco culullus uinum syrus reparo merx deus carus ipse quippe ter et quater annus reuiso aequor atlanticus impune
170	1	31	0171	ego pasco oliua ego cichorium leuis que malua
171	1	31	0172	fruor paratus et ualidus ego latous dono et precor integer cum mens nec turpis senecta dego nec cithara careo
172	1	32	0173	poscimus si quis uacuus sub umbra ludo tu cum qui et hic in annus uiuo et multus age dico latinus barbitos carmen lesbius primum modulor ciuis qui ferox bellum tamen inter arma siue iacto religo udus litus nauis liber et musa uenus que et ille semper haereo puer cano et lycus niger oculus niger que crinis decorus
173	1	32	0174	o decus phoebus et daps superus gratus testudo iuppiter o labor dulcis lenimen ego cumque salueo rite uoco
174	1	33	0175	albius ne doleo multum nimium memor immitis glycera neue miserabilis decanto elegi cur tu iuuenis laedo praeniteo fides
175	1	33	0176	insignis tenuis frons lycoris cyrus torreo amor cyrus in asper declino pholoe sed # apulus iungo caprea lupus priusquam turpis pholoe pecco adulter
176	1	33	0177	sic uideo uenus qui placeo impar forma atque animus sub iugum aeneus saeuus mitto cum iocus
177	1	33	0178	ipse ego bonus cum peto uenus gratus detineo compes myrtale libertina fretum acer hadria curuo calaber sinus
178	1	34	0179	parcus deus cultor et infrequens insanio dum sapientia consultus erro nunc retrorsum uelum do atque itero cursus cogo relinquo
179	1	34	0180	namque diespiter ignis coruscus nubilum diuido plerumque per purus tono ago equus uolucer que currus qui brutus tellus et uagus flumen qui styx et inuisus horridus taenarus sedes atlanteus que finis concutio
180	1	34	0181	ualeo imum summum muto et insignis attenuo deus obscurum promo hinc apex rapax fortuna cum stridor acutus tollo hic pono gaudeo
181	1	35	0182	o diua gratus qui rego antium praesens uel inferus tollo de gradus mortalis corpus uel superbus uerto funus triumphus tu pauper ambio sollicitus prex rus colonus tu domina aequor quicumque bithynus lacesso carpathius pelagus carina tu dacus asper tu profugus scythae urbs que gens que et latium ferox rex que mater barbarus et purpureus metuo tyrannus iniuriosus ne pes proruo sto columna neue populus frequens ad arma cesso ad arma concito imperium que frango
182	1	35	0183	tu semper anteeo saeuus necessitas clauus trabalis et cuneus manus gesto aenus nec seuerus uncus absum liquidus que plumbum tu spes et albus rarus fides colo uelo pannus nec comes abnego utcumque muto potens uestis domus inimicus linquo at uulgus infidus et meretrix retro periurus cedo diffugio cadus cum faex sicco amicus fero iugum pariter dolosus seruo eo caesar in ultimus orbis britanni et iuuenis recens examen eous timeo pars oceanus que ruber
183	1	35	0184	heu heu cicatrix et scelus pudeo frater que
184	1	35	0185	quis nos durus refugio aetas
185	1	35	0186	quis intactus nefastum linquo
186	1	35	0187	unde manus iuuentus metus deus contineo
187	1	35	0188	quis parco ara
188	1	35	0189	o utinam nouus incus diffingo retusus in massagetae arabes que ferrum
189	1	36	0190	et tus et fides iuuo placo et uitulus sanguis debeo custos numida deus qui nunc hesperia sospes ab ultimus carus multus sodalis nullus multus tamen diuido osculum quam dulcis lamia memor ago non alius rex pueritia muto que simul toga
190	1	36	0191	cressus ne careo pulcher dies nota neue promo modus amphora neue mos in salius sum requies pes neue multus damalis merum bassus threicius uinco amystis neue desum epulae rosa neue uiuax apium neue breuis lilium
191	1	36	0192	omnis in damalis putris depono oculus nec damalis nouus diuello adulter lasciuus hedera ambitiosus
192	1	37	0193	nunc sum bibo nunc pes liber pulso tellus nunc saliaris orno puluinar deus tempus sum daps sodalis
193	1	37	0194	antehac nefas depromo caecubum cella auitus dum capitolium regina demens ruina funus et imperium paro contamino cum grex turpis morbus uir quilibet impotens spero fortuna que dulcis ebrius
194	1	37	0195	sed minuo furor uix unus sospes nauis ab ignis mens que lympho mareoticum redigo in uerus timor caesar ab italia uolo remus adurgeo accipiter uelut mollis columba aut lepus citus uenator in campus niualis haemonia do ut catena fatalis monstrum qui generose pereo quaero nec muliebriter expauesco ensis nec lateo classis citus reparo ora audeo et iaceo uiso regia uultus serenus fortis et asper tracto serpens ut ater corpus combibo uenenum delibero mors ferox saeuus liburni scilicet inuideo priuatus deduco superbus non humilis mulier triumphus
195	1	38	0196	persicus odi puer apparatus displiceo necto philyra corona mitto sector rosa quis locus serus moror
196	1	38	0197	simplex myrtus nihil allaboro sedulus curo neque tu minister dedecet myrtus neque ego sub artus uitis bibo
197	2	1	0198	motus ex metellus consul ciuicus bellum que causa et uitium et modus ludus que fortuna grauis que princeps amicitia et arma nondum expio ungo cruor periculosus plenus opus alea tracto et incedo per ignis suppono cinis dolosus
198	2	1	0199	paulum seuerus musa tragoedia desum theatrum mox ubi publicus res ordino grandis munus cecropius repeto cothurnus insignis maestus praesidium reus et consulo pollio curia qui laurus aeternus honor dalmaticus pario triumphus
199	2	1	0200	iam nunc minax murmur cornu perstringo auris iam lituus strepo iam fulgor arma fugax terreo equus eques que uultus
200	2	1	0201	audio magnus iam uideo dux non indecorus puluis sordidus et cunctus terra subigo praeter atrox animus cato
201	2	1	0202	iuno et deus quisquis amicus afri inultus cedo impotens tellus uictor nepos refero inferiae iugurtha
202	2	1	0203	quis non latinus sanguis pinguis campus sepulcrum impius proelium testor audio que medi hesperius sonitus ruina
203	2	1	0204	quis gurges aut quis flumen lugubris ignarus bellum
204	2	1	0205	quis mare daunius non decoloro caedes
205	2	1	0206	quis careo ora cruor noster
206	2	1	0207	sed ne relinquo musa procax iocus ceus retracto munus nenia ego cum dionaeus sub antrum quaero modus leuis plectrum
207	2	2	0208	nullus argentum color sum auarus abdo terra inimicus lamina crispus sallustius nisi temperatus splendeo usus
208	2	2	0209	uiuo extendo proculeius aeuum notus in frater animus paternus ille ago penna metuo soluo fama superstes
209	2	2	0210	late regno auidus domo spiritus quam si libya remotus gades iungo et uterque poenus seruio unus cresco indulgens sui dirus hydrops nec sitis pello nisi causa morbus fugio uena et aquosus albus corpus languor
210	2	2	0211	reddo cyrus solium phraates dissideo plebs numerus beatus eximo uirtus populus que falsus dedoceo utor uox regnum et diadema tutus defero unus proprius que laurus quisquis ingens oculus irretortus specto aceruus
211	2	3	0212	aequus memini res in arduus seruo mens non secus in bonus ab insolens temperatus laetitia morior dellius seu maestus omnis tempus uiuo seu tu in remotus gramen per dies festus reclino beo interior nota falernum
212	2	3	0213	quo pinus ingens albus que populus umbra hospitalis consocio amo ramus
213	2	3	0214	quis obliquus laboro lympha fugax trepido riuus
214	2	3	0215	huc uinum et unguentum et nimium breuis flos amoenus fero iubeo rosa dum res et aetas et soror filum tres patior ater
215	2	3	0216	cedo coemo saltus et domus uilla que flauus qui tiberis lauo cedo et exstruo in altum diuitiae potior heres
216	2	3	0217	diues ne priscus nascor ab inachus nihil intersum an pauper et inferus de gens sub diuum moror uictima nihil miseror orcus omnis eodem cogo omnis uerso urna sero ociter sors exeo et nos in aeternus exsilium impono cymba
