publish_date,headline_text,sentiment
f-01-13,sic tu diua potens cyprus sic frater helena lucidus sidus uentus rego pater obstringo alius praeter iapyx nauis qui tu credo debeo uergilius finis atticus reddo incolumis precor et seruo anima dimidium meus ,1
f-01-14,ille robur et aes triplex circa pectus sum qui fragilis trux committo pelagus ratis primus nec timeo praeceps africus decerto aquilo nec tristis hyades nec rabies notus qui non arbiter hadria magnus tollo seu pono uolo fretum ,1
f-01-15,quis mors timeo gradus qui siccus oculus monstrum nato qui uideo mare turbidus et infamis scopulus acroceraunia ,1
f-01-16,nequiquam deus abscindo prudens oceanus dissociabilis terra si tamen impius non tango ratis transilio uadum ,1
f-01-17,audax omnis perpetior gens humanus ruo per ueto nefas audax iapetus genus ignis fraus malus gens infero ,0
f-01-18,post ignis aetherius domus subduco macies et nouus febris terra incumbo cohors semotus prius tardus necessitas letum corripio gradus ,1
f-01-19,experior uacuus daedalus aer penna non homo do perrumpo acheron herculeus labor ,0
f-01-20,nihil mortalis arduum sum caelum ipse peto stultitia neque per noster patior scelus iracundus iuppiter pono fulmen ,0
f-01-21,soluo acer hiems gratus uicis uer et fauonius traho siccus machina carina ac neque iam stabulum gaudeo pecus aut arator ignis nec pratum canus albico pruina ,1
f-01-22,iam cythereus chorus duco uenus immineo luna iungo nympha gratia decens alternus terra quatio pes dum grauis cyclops uulcanus ardens uiso officina ,1
f-01-23,nunc decet aut uiridis nitidus caput impedio myrtus aut flos terra qui fero solutus ,1
f-01-24,nunc et in umbrosus faunus decet immolo lucus seu posco agna siue malo haedus ,1
f-01-25,pallidus mors aequus pulso pes pauper taberna rex turris ,1
f-01-26,o beatus sestius uita summa breuis spes nos ueto incoho longus iam tu premo nox fabula manes et domus exilis plutonius quo simul meo nec regnum uinum sortior talus nec tener lycidas miror qui caleo iuuentus nunc omnis et mox uirgo tepeo ,1
f-01-27,quis multus gracilis tu puer in rosa perfundo liquidus urgeo odor gratus pyrrha sub antrum ,1
f-01-28,quis flauus religo coma simplex munditia ,1
f-01-29,heu quotiens fides muto deus fleo et asper niger aequor uentus emiror insolens qui nunc tu fruor credulus aureus qui semper uacuus semper amabilis spero nescius aura fallax ,1
f-01-30,miser qui intento niteo ego tabula sacer uotiuus paries indico uuidus suspendo potens uestimentum mare deus ,1
f-01-31,scribo uarius fortis et hostis uictor maeonius carmen ales qui res cumque ferox nauis aut equus miles tu dux gero ,1
f-01-32,nos agrippa neque hic dico nec grauis pelides stomachus cedo nescius nec cursus duplex per mare ulixes nec saeuus pelops domus conor tenuis grandis dum pudor imbellis lyra musa potens ueto laus egregius caesar et tuus culpa detero ingenium ,0
f-01-33,quis mars tunica tego adamantinus digne scribo aut puluis troicus niger meriones aut ops pallas tydides superi par ,1
f-01-34,nos conuiuium nos proelium uirgo seco in iuuenis unguis acer canto uacuus siue quis uro non praeter solitum leuis ,0
f-01-35,laudo alius clarus rhodus aut mytilena aut ephesus bimaris corinthus moenia uel bacchus thebae uel apollo delphi insignis aut thessalus tempe sum qui unus opus sum intactus pallas urbs carmen perpetuus celebro et undique decerpo frons praepono oliua multus in iuno honor aptus dico equus argos diues mycenae ego nec tam patiens lacedaemon nec tam larisa percutio campus opimus quam domus albunea resono et praeceps anio ac tiburnus lucus et udus mobilis pomarium riuus ,1
f-01-36,albus ut obscurus detergeo nubilum caelum saepe notus neque parturio imber perpetuo sic tu sapiens finio memini tristitia uita labor mollis plancus merum seu tu fulgeo signum castra teneo seu densus teneo tibur umbra tuus ,1
f-01-37,teucer salamis pater cum fugio tamen udus lyaeus tempus populeus fero uincio corona sic tristis affor amicus quo nos cumque fero bonus fortuna parens eo o socius comes nihil despero teucer dux et auspex teucer ,1
f-01-38,certus enim promitto apollo ambiguus tellus nouus salamis sum ,1
f-01-39,o fortis malus patior ego saepe uir nunc uinum pello cura cras ingens itero aequor ,1
f-01-40,lydia dico per omnis tu deus oro sybaris cur propero amo perdo cur apricus odi campus patiens puluis atque sol cur neque militaris inter aequalis equito gallicus nec lupatus tempero os frenum ,1
f-01-41,cur timeo flauus tiberis tango ,1
f-01-42,cur oliuum sanguis uiperinus caute uito neque iam liuidus gesto arma brachium saepe discus saepe trans finis iaculum nobilis expedio ,1
f-01-43,quis lateo ut marinus filius dico thetis sub lacrimosus troia funus ne uirilis cultus in caedes et lycius proripio caterua ,0
f-01-44,uideo ut altus sto nix candidus soracte nec iam sustineo onus silua laboro gelu flumen consisto acutus ,1
f-01-45,dissoluo frigus lignum super focus large repono atque benigne depromo quadrimus sabinus o thaliarchus merum diota ,1
f-01-46,permitto diuus cetera qui simul sterno uentus aequor feruidus deproelior nec cupressus nec uetus agito ornus ,0
f-01-47,quis sum sum cras fugio quaero et qui fors dies cumque do lucrum appono nec dulcis amor sperno puer neque tu chorea donec uirens canities absum morosus ,1
f-01-48,nunc et campus et area lenis sub nox susurrus compositus repeto hora nunc et lateo proditor interior gratus puella risus ab angulus pignus deripio lacertus aut digitus male pertinax ,1
f-01-49,mercurius facundus nepos atlas qui ferus cultus homo recens uox formo catus et decorus mos palaestra tu cano magnus iuppiter et deus nuntius curuus lyra parens callidus quisquis placeo iocosus condo furtum ,1
f-01-50,tu bos olim nisi reddo per dolus amoueo puer minax uox dum terreo uiduus pharetra rideo apollo ,1
f-01-51,quin et atrides dux tu superbus ilium diues priamus relinquo thessalus ignis et iniquus troia castra fallo ,0
f-01-52,tu pius laetus anima repono sedes uirga leuis coerceo aureus turba superi deus gratus et inferus ,1
f-01-53,tu ne quaero scio nefas quis ego quis tu finis deus do leuconoe nec babylonius tento numerus ,1
f-01-54,ut bonus quisquis sum patior ,1
f-01-55,seu multus hiems seu tribuo iuppiter ultimus qui nunc oppositus debilito pumex mare tyrrhenus sapio uinum liquo et spatium breuis spes longus reseco ,1
f-01-56,dum loquor fugio inuidus aetas carpo dies quam minimum credulus posterus ,0
f-01-57,quis uir aut heros lyra uel acer tibia sumo celebro clio ,1
f-01-58,quis deus ,1
f-01-59,quis recino iocosus nomen imago aut in umbrosus helicon ora aut super pindus gelidus in haemus ,1
f-01-60,unde uocalis temere insequor orpheus silua ars maternus rapidus moror flumen lapsus celer uentus blandus et auritus fides canorus duco quercus ,1
f-01-61,quis prior dico solitus parens laus qui res homo ac deus qui mare ac terra uarius mundus tempero hora ,1
f-01-62,unde nihil magnus genero ipse nec uigeo quisquam similis aut secundus ,1
f-01-63,propior ille tamen occupo pallas honor proelium audax ,1
f-01-64,neque tu sileo liber et saeuus inimicus uirgo bellua nec tu metuo certus phoebus sagitta ,1
f-01-65,dico et alcides puer leda hic equus ille supero pugnus nobilis qui simul albus nauta stella refulgeo defluo saxum agito humor concido uentus fugio nubes et minax quod sic uolo pontus unda recumbo ,1
f-01-66,romulus post hic prius an quietus pompilius regnum memoro an superbus tarquinius fascis dubito an cato nobilis letum ,1
f-01-67,regulus et scaurus anima magnus prodigus paulus supero poenus gratus insignis refero camena fabricius ,1
f-01-68,hic et incomptus curius capillus utilis bellum fero et camillus saeuus paupertas et auitus aptus cum lar fundus ,0
f-01-69,cresco occultus uelut arbor aeuum fama marcellus mico inter omnis iulius sidus uelut inter ignis luna paruus ,1
f-01-70,gens humanus pater atque custos orior saturnus tu cura magnus caesar fatum do tu secundus caesar regno ,1
f-01-71,ille seu parthi latium immineo ago iustus domo triumphus siue subicio oriens ora seres et indi tu paruus laetus rego aequus orbis tu grauis currus quatio olympus tu parum castus inimicus mitto fulmen lucus ,1
f-01-72,cum tu lydia telephus ceruix roseus cereus telephus laudo brachium uae meus ferueo difficilis bilis tumeo iecur ,0
f-01-73,tunc nec mens ego nec color certus sedes maneo humor et in gena furtim labor arguo quam lentus penitus macero ignis ,1
f-01-74,uro seu tu candidus turpo humerus immodicus merum rixa siue puer furens imprimo memor dens labrum nota ,1
f-01-75,non si ego satis audio spero perpetuus dulcis barbare laedo osculum qui uenus quintus pars suus nectar imbuo ,1
f-01-76,felix ter et ample qui irruptus teneo copula nec malus diuello querimonia superus cito soluo amor dies ,0
f-01-77,o nauis refero in mare tu nouus fluctus ,1
f-01-78,o quis ago ,1
f-01-79,fortiter occupo portus ,1
f-01-80,nonne uideo ut nudus remigium latus et malus celer saucius africus antenna gemo ac sine funis uix duro carina possum imperiosus aequor ,0
f-01-81,non tu sum integer linteum non deus qui iterum premo uoco malum ,1
f-01-82,quamuis ponticus pinus silua filia nobilis iacto et genus et nomen inutilis nihil pingo timidus nauta puppis fido ,0
f-01-83,tu nisi uentus debeo ludibrium caueo ,0
f-01-84,nuper sollicitus qui ego taedium nunc desiderium cura non leuis interfundo nitens uito aequor cyclas ,1
f-01-85,pastor cum traho per fretum nauis idaeus helena perfidus hospita ingratus celer obruo otium uentus ut cano ferus nereus fatum ,0
f-01-86,malus duco auis domus qui multus repeto graecia miles coniuro tuus rumpo nuptiae et regnum priamus uetus ,0
f-01-87,heu heu quantus equus quantus assum uir sudor quantus moueo funus dardanus gens ,1
f-01-88,iam galea pallas et aegis currus et rabies paro ,0
f-01-89,nequiquam uenus praesidium ferox pecto caesaries gratus femina imbellis cithara carmen diuido nequiquam thalamus grauis hasta et calamus spiculum gnosius uito strepitus et celer sequor aiax tamen heu serus adulter crinis puluis collino ,1
f-01-90,non laertiades exitium tuus gens non pylius nestor respicio ,0
f-01-91,urgeo impauidus tu salaminius teucer tu sthenelus sciens pugna siue opus sum imperito equus non auriga piger ,1
f-01-92,meriones quoque nosco ,1
f-01-93,ecce furo tu reperio atrox tydides bonus pater qui tu ceruus ut uallis in alter uideo pars lupus gramen immemor sublimis fugio mollis anhelitus non hic polliceor tuus ,0
f-01-94,iracundus dies profero ilium matrona phryges classis achilles post certus hiems uro achaicus ignis iliacus domus ,1
f-01-95,o mater pulcher filia pulcher qui criminosus cumque uolo modus pono iambus siue flamma siue mare libet hadrianus ,1
f-01-96,non dindymena non adytum quatio mens sacerdos incola pythius non liber aeque non acutus sic gemino corybantes aes tristis ut ira qui neque noricus deterreo ensis nec mare naufragus nec saeuus ignis nec tremendus iuppiter ipse ruo tumultus ,0
f-01-97,fero prometheus addo princeps limus cogo particula undique deseco et insanus leo uis stomachus appono noster ,0
f-01-98,ira thyestes exitium grauis sterno et altus urbs ultimus sto causa cur pereo funditus imprimo murus hostilis aratrum exercitus insolens ,1
f-01-99,compesco mens ego quoque pectus tento in dulcis iuuenta feruor et in celer iambus mitto furens nunc ego mitis muto quaero tristis dum ego fio recanto amica opprobrium animus reddo ,1
f-01-100,uelox amoenus saepe lucretilis muto lycaeus faunus et igneus defendo aestas capella usque meus pluuius uentus ,1
f-01-101,impune tutus per nemus arbutus quaero lateo et thymum deuius oleo uxor maritus nec uiridis metuo colubra nec martialis haedilia lupus utcumque dulcis tyndaris fistula uallis et ustica cubo leuis persono saxum ,1
f-01-102,deus ego tueor deus pietas meus et musa cor sum ,1
f-01-103,hic tu copia mano ad plenum benignus rus honor opulentus cornu ,1
f-01-104,hic in reductus uallis canicula uito aestus et fides teius dico laboro in unus penelope uitreus circe ,1
f-01-105,hic innocens poculum lesbium duco sub umbra nec semeleius cum mars confundo thyoneus proelium nec metuo proteruus suspicio cyrus ne male dispar incontinens inicio manus et scindo haereo corona crinis immeritus uestis ,1
f-01-106,nullus uarus sacer uitis prius sero arbor circa mitis solum tibur et moenia catilus ,1
f-01-107,siccus omnis nam durus deus propono neque mordax aliter diffugio sollicitudo ,0
f-01-108,quis post uinum grauis militia aut pauperies crepo ,0
f-01-109,quis non tu potius bacchus pater tu decens uenus ,1
f-01-110,ac ne quis modicus transilio munus liber centaureus moneo cum lapithae rixa super merum debello moneo sithonii non leuis euhius cum fas atque nefas exiguus finis libido discerno auidus ,1
f-01-111,non ego tu candidus bassareus inuitus quatio nec uarius obsero frons sub diuum rapio ,0
f-01-112,saeuus teneo cum berecyntius cornu tympanum qui subsequor caecus amor sui et tollo uacuus multum nimium gloria uertex arcanum fides prodigus pellucidus uitrum ,1
f-01-113,mater saeuus cupido thebanus iubeo ego semele puer et lasciuus licentia finio animus reddo amor ,0
f-01-114,uro ego glycera nitor splendeo parius marmor pure uro gratus proteruitas et uultus nimium lubricus aspicio ,1
f-01-115,in ego totus ruo uenus cyprus desero nec patior scythae et uerto animosus equus parthus dico nec qui nihil attineo ,1
f-01-116,hic uiuus ego caespes hic uerbena puer pono tus bimus cum patera merum macto uenio lenis hostia ,1
f-01-117,uilis poto modicus sabinum cantharus graecus qui ego ipse testa condo lino do in theatrum cum tu plausus carus maecenas eques ut paternus flumen ripa simul et iocosus reddo laus tu uaticanus mons imago ,1
f-01-118,caecubum et prelum domo calenus tu bibo uua meus nec falernus tempero uitis neque formianus poculum collis ,1
f-01-119,diana tener dico uirgo intonsus puer dico cynthius latona superus diligo penitus iuppiter ,1
f-01-120,uos laetus fluuius et nemus coma quicumque aut gelidus promineo algidus niger aut erymanthus silua aut uiridis cragus uos tempe totidem tollo laus natalis mas delos apollo insignis pharetra fraternus humerus lyra ,1
f-01-121,hic bellum lacrimosus hic miser fames pestis ab populus et princeps caesar in persae atque britanni uester moueo ago prex ,0
f-01-122,integer uita scelus purus non egeo maurus iaculum neque arcus nec uenenatus grauidus sagitta fuscus pharetra siue per syrtis iter aestuosus siue facio per inhospitalis caucasus uel qui locus fabulosus lambo hydaspes ,1
f-01-123,namque ego silua lupus in sabinus dum meus canto lalage et ultra terminus cura uagor expedito fugio inermis qualis portentum neque militaris daunias latus alo aesculetum nec iuba tellus genero leo aridus nutrix ,1
f-01-124,pono ego piger ubi nullus campus arbor aestiuus recreo aura qui latus mundus nebula malus iuppiter urgeo pono sub currus nimium propinquus sol in terra domus nego dulce rideo lalage amo dulce loquor ,1
f-01-125,uito hinnuleus ego similis chloe quaero pauidus mons auius mater non sine uanus aura et silua metus ,0
f-01-126,nam seu mobilis uer inhorresco aduentus folium seu uiridis rubus dimoueo lacerta et cor et genu tremo ,1
f-01-127,atqui non ego tu tigris ut asper gaetulus leo frango persequor tandem desino mater tempestiuus sequor uir ,1
f-01-128,quis desiderium sum pudor aut modus tam carus caput ,1
f-01-129,praecipio lugubris cantus melpomene qui liquidus pater uox cum cithara do ,1
f-01-130,ergo quintilius perpetuus sopor urgeo qui pudor et iustitia soror incorruptus fides nudus ueritas quando ullus inuenio par ,1
f-01-131,multus ille boni flebilis occido nullus flebilis quam tu uergilius ,1
f-01-132,tu frustra pius heu non ita credo posco quintilius deus ,1
f-01-133,quis ,1
f-01-134,si threicius blande orpheus audio moderor arbor fides num uanus redeo sanguis imago qui uirga semel horridus non lenis prex fatum recludo niger compello mercurius grex ,0
f-01-135,durus sed leuis fio patientia quisquis corrigo sum nefas ,0
f-01-136,parce iungo quatio fenestra iactus creber iuuenis proteruus nec tu somnus adimo amo ianua limen qui prius multum facilis moueo cardo ,1
f-01-137,audio parum et parum iam ego tuus longus pereo nox lydia dormio ,1
f-01-138,inuicem moechus anus arrogans fleo in solus leuis angiportus thracius bacchor magis sub inter lunium uentus cum tu flagrans amor et libido qui soleo mater furio equus saeuio circa iecur ulcerosus non sine questus laetus quod pubes hedera uirens gaudeo pullus magis atque myrtus aridus frons hiems sodalis dedico eurus ,0
f-01-139,musa amicus tristitia et metus trado proteruus in mare creticus porto uentus quis sub arctus rex gelidus metuo ora quis tiridates terreo unice securus ,0
f-01-140,o qui fons integer gaudeo apricus necto flos necto meus lamia corona pimpleis dulcis ,1
f-01-141,nihil sine tu meus prosum honor hic fides nouus hic lesbius sacro plectrum tu tuus decet soror ,1
f-01-142,natus in usus laetitia scyphus pugno thraces sum tollo barbarus mos uerecundus bacchus sanguineus prohibeo rixa ,1
f-01-143,uinum et lucerna medus acinaces immanis quantum discrepo impius lenio clamor sodalis et cubitum remaneo premo ,1
f-01-144,uolo seuerus ego quoque sumo pars falernum ,1
f-01-145,dico opuntius frater megylla quis beatus uulnus quis pereo sagitta ,1
f-01-146,cesso uoluntas ,1
f-01-147,non alius bibo merces ,1
f-01-148,qui tu cumque domo uenus non erubesco aduro ignis ingenuus semper amor pecco ,1
f-01-149,quisquis habeo age depono tutus auris ,1
f-01-150,ah miser quantus laboro charybdis dignus puer bonus flamma ,1
f-01-151,quis saga quis tu soluo thessalus magus uenenum quis possum deus ,0
f-01-152,uix illigo tu triformis pegasus expedio chimaera ,1
f-01-153,tu mare et terra numerus careo arena mensor cohibeo archytas puluis exiguus prope litus paruus matinus munus nec quisquam tu prosum aerius tento domus animus rotundus percurro polus morior ,1
f-01-154,occido et pelops genitor conuiua deus tithonus remoueo in aura et iuppiter arcanum minos admitto habeo tartara panthoides iterum orcus demitto quamuis clipeus troianus refigo tempus testor nihil ultra neruus atque cutis mors concedo ater iudex tu non sordidus auctor natura uerum ,1
f-01-155,sed omnis unus maneo nox et calco semel uia letum ,1
f-01-156,do alius furia toruus spectaculum mars exitium sum auidus mare nauta misceo senex ac iuuenis denseo funus nullus saeuus caput proserpina fugio ,0
f-01-157,ego quoque deuexus rapidus comes orion illyricus notus obruo unda ,1
f-01-158,at tu nauta uagus ne parco malignus arena os et caput inhumatus particula do sic quicumque minor eurus fluctus hesperius uenusinus plecto silua tu sospes multus merces unde possum tu defluo aequus ab iuppiter neptunus sacer custos tarentum ,1
f-01-159,negligo immeritus noceo postmodo tu nascor fraus committo ,1
f-01-160,fors et debeo ius uicis superbus tu maneo ipse prex non linquo inultus tu piaculum nullus resoluo ,0
f-01-161,quamquam festino non sum mora longus licet inicio ter puluis curro ,1
f-01-162,iccius beatus nunc arabes inuideo gaza et acer militia paro non ante deuinco sabaea rex horribilis medus necto catena ,1
f-01-163,quis tu uirgo sponsus neco barbarus seruio puer quis ex aula capillus ad cyathus statuo ungo doceo sagitta tendo sericus arcus paternus ,1
f-01-164,quis nego arduus pronus relabor possum riuus mons et tiberis reuertor cum tu coemo undique nobilis liber panaetius socraticus et domus muto lorica iberus polliceor bonus tendo ,1
f-01-165,o uenus regina cnidus paphus sperno diligo cyprus et uoco tus tu multus glycera decorus transfero in aedes ,1
f-01-166,feruidus tu puer et solutus gratia zona propero nympha et parum comis sine tu iuuentas mercurius ,1
f-01-167,quis dedico posco apollo uates ,1
f-01-168,quis oro de patera nouus fundo liquor ,1
f-01-169,non opimus sardinia seges ferax non aestuosus gratus calabria armentum non aurum aut ebur indicus non rus qui liris quietus mordeo aqua taciturnus amnis ,1
f-01-170,premo calenus falx qui do fortuna uitis diues ut aureus mercator exsicco culullus uinum syrus reparo merx deus carus ipse quippe ter et quater annus reuiso aequor atlanticus impune ,1
f-01-171,ego pasco oliua ego cichorium leuis malua ,1
f-01-172,fruor paratus et ualidus ego latous dono et precor integer cum mens nec turpis senecta dego nec cithara careo ,1
f-01-173,poscimus si quis uacuus sub umbra ludo tu qui et hic in annus uiuo et multus age dico latinus barbitos carmen lesbius primum modulor ciuis qui ferox bellum tamen inter arma siue iacto religo udus litus nauis liber et musa uenus et ille semper haereo puer cano et lycus niger oculus niger crinis decorus ,1
f-01-174,o decus phoebus et daps superus gratus testudo iuppiter o labor dulcis lenimen ego cumque salueo rite uoco ,1
f-01-175,albius ne doleo multum nimium memor immitis glycera neue miserabilis decanto elegi cur tu iuuenis laedo praeniteo fides ,1
f-01-176,insignis tenuis frons lycoris cyrus torreo amor cyrus in asper declino pholoe sed prius apulus iungo caprea lupus quam turpis pholoe pecco adulter ,1
f-01-177,sic uideo uenus qui placeo impar forma atque animus sub iugum aeneus saeuus mitto cum iocus ,0
f-01-178,ipse ego bonus cum peto uenus gratus detineo compes myrtale libertina fretum acer hadria curuo calaber sinus ,1
f-01-179,parcus deus cultor et infrequens insanio dum sapientia consultus erro nunc retrorsum uelum do atque itero cursus cogo relinquo ,1
f-01-180,namque diespiter ignis coruscus nubilum diuido plerumque per purus tono ago equus uolucer currus qui brutus tellus et uagus flumen qui styx et inuisus horridus taenarus sedes atlanteus finis concutio ,0
f-01-181,ualeo imum summum muto et insignis attenuo deus obscurum promo hinc apex rapax fortuna cum stridor acutus tollo hic pono gaudeo ,1
f-01-182,o diua gratus qui rego antium praesens uel inferus tollo de gradus mortalis corpus uel superbus uerto funus triumphus tu pauper ambio sollicitus prex rus colonus tu domina aequor quicumque bithynus lacesso carpathius pelagus carina tu dacus asper tu profugus scythae urbs gens et latium ferox rex mater barbarus et purpureus metuo tyrannus iniuriosus ne pes proruo sto columna neue populus frequens ad arma cesso ad arma concito imperium frango ,0
f-01-183,tu semper anteeo saeuus necessitas clauus trabalis et cuneus manus gesto aenus nec seuerus uncus absum liquidus plumbum tu spes et albus rarus fides colo uelo pannus nec comes abnego utcumque muto potens uestis domus inimicus linquo at uulgus infidus et meretrix retro periurus cedo diffugio cadus cum faex sicco amicus fero iugum pariter dolosus seruo eo caesar in ultimus orbis britanni et iuuenis recens examen eous timeo pars oceanus ruber ,1
f-01-184,heu heu cicatrix et scelus pudeo frater ,0
f-01-185,quis nos durus refugio aetas ,0
f-01-186,quis intactus nefastum linquo ,1
f-01-187,unde manus iuuentus metus deus contineo ,0
f-01-188,quis parco ara ,1
f-01-189,o utinam nouus incus diffingo retusus in massagetae arabes ferrum ,1
f-01-190,et tus et fides iuuo placo et uitulus sanguis debeo custos numida deus qui nunc hesperia sospes ab ultimus carus multus sodalis nullus multus tamen diuido osculum quam dulcis lamia memor ago non alius rex pueritia muto simul toga ,1
f-01-191,cressus ne careo pulcher dies nota neue promo modus amphora neue mos in salius sum requies pes neue multus damalis merum bassus threicius uinco amystis neue desum epulae rosa neue uiuax apium neue breuis lilium ,1
f-01-192,omnis in damalis putris depono oculus nec damalis nouus diuello adulter lasciuus hedera ambitiosus ,0
f-01-193,nunc sum bibo nunc pes liber pulso tellus nunc saliaris orno puluinar deus tempus sum daps sodalis ,1
f-01-194,antehac nefas depromo caecubum cella auitus dum capitolium regina demens ruina funus et imperium paro contamino cum grex turpis morbus uir quilibet impotens spero fortuna dulcis ebrius ,0
f-01-195,sed minuo furor uix unus sospes nauis ab ignis mens lympho mareoticum redigo in uerus timor caesar ab italia uolo remus adurgeo accipiter uelut mollis columba aut lepus citus uenator in campus niualis haemonia do ut catena fatalis monstrum qui generose pereo quaero nec muliebriter expauesco ensis nec lateo classis citus reparo ora audeo et iaceo uiso regia uultus serenus fortis et asper tracto serpens ut ater corpus combibo uenenum delibero mors ferox saeuus liburni scilicet inuideo priuatus deduco superbus non humilis mulier triumphus ,0
f-01-196,persicus odi puer apparatus displiceo necto philyra corona mitto sector rosa quis locus serus moror ,1
f-01-197,simplex myrtus nihil allaboro sedulus curo neque tu minister dedecet myrtus neque ego sub artus uitis bibo ,1
